# start rate=20 seed=1 dur=420 n=7 target=3 events=76
127.7 fp=[2] true=[3] merged=[2, 3]
128.0 fp=[2] true=[3] merged=[2, 3]
128.3 fp=[2] true=[3] merged=[2, 3]
128.6 fp=[2] true=[3] merged=[2, 3]
128.9 fp=[2] true=[3] merged=[2, 3]
129.3 fp=[2] true=[3] merged=[2, 3]
129.6 fp=[2] true=[3] merged=[2, 3]
129.9 fp=[2] true=[3] merged=[2, 3]
130.2 fp=[2] true=[3] merged=[2, 3]
130.5 fp=[2] true=[3] merged=[2, 3]
130.8 fp=[2] true=[3] merged=[2, 3]
131.2 fp=[2] true=[3] merged=[2, 3]
131.5 fp=[2] true=[3] merged=[2, 3]
131.8 fp=[2] true=[3] merged=[2, 3]
132.1 fp=[2] true=[3] merged=[2, 3]
132.4 fp=[2] true=[3] merged=[2, 3]
132.7 fp=[2] true=[3] merged=[2, 3]
133.0 fp=[2] true=[3] merged=[2, 3]
133.4 fp=[2] true=[3] merged=[2, 3]
133.7 fp=[2] true=[3] merged=[2, 3]
134.0 fp=[2] true=[3] merged=[2, 3]
134.3 fp=[2] true=[3] merged=[2, 3]
134.6 fp=[2] true=[3] merged=[2, 3]
135.0 fp=[2] true=[3] merged=[2, 3]
135.3 fp=[2] true=[3] merged=[2, 3]
135.6 fp=[2] true=[3] merged=[2, 3]
135.9 fp=[2] true=[3] merged=[2, 3]
136.2 fp=[2] true=[3] merged=[2, 3]
136.5 fp=[2] true=[3] merged=[2, 3]
136.8 fp=[2] true=[3] merged=[2, 3]
137.1 fp=[2] true=[3] merged=[2, 3]
137.4 fp=[2] true=[3] merged=[2, 3]
137.8 fp=[2] true=[3] merged=[2, 3]
138.1 fp=[2] true=[3] merged=[2, 3]
138.4 fp=[2] true=[3] merged=[2, 3]
138.7 fp=[2] true=[3] merged=[2, 3]
139.0 fp=[2] true=[3] merged=[2, 3]
139.3 fp=[2] true=[3] merged=[2, 3]
139.6 fp=[2] true=[3] merged=[2, 3]
139.9 fp=[2] true=[3] merged=[2, 3]
140.2 fp=[2] true=[3] merged=[2, 3]
140.6 fp=[2] true=[3] merged=[2, 3]
140.9 fp=[2] true=[3] merged=[2, 3]
141.2 fp=[2] true=[3] merged=[2, 3]
141.5 fp=[2] true=[3] merged=[2, 3]
141.8 fp=[2] true=[3] merged=[2, 3]
142.1 fp=[4] true=[3] merged=[3, 4]
142.4 fp=[4] true=[3] merged=[3, 4]
142.8 fp=[4] true=[3] merged=[3, 4]
143.1 fp=[4] true=[3] merged=[3, 4]
143.4 fp=[4] true=[3] merged=[3, 4]
143.7 fp=[4] true=[3] merged=[3, 4]
144.0 fp=[4] true=[3] merged=[3, 4]
144.3 fp=[4] true=[3] merged=[3, 4]
144.6 fp=[4] true=[3] merged=[3, 4]
145.0 fp=[4] true=[3] merged=[3, 4]
145.3 fp=[4] true=[3] merged=[3, 4]
145.6 fp=[4] true=[3] merged=[3, 4]
145.9 fp=[4] true=[3] merged=[3, 4]
146.2 fp=[4] true=[3] merged=[3, 4]
146.5 fp=[4] true=[3] merged=[3, 4]
146.8 fp=[4] true=[3] merged=[3, 4]
147.1 fp=[4] true=[3] merged=[3, 4]
147.5 fp=[4] true=[3] merged=[3, 4]
147.8 fp=[4] true=[3] merged=[3, 4]
148.1 fp=[4] true=[3] merged=[3, 4]
148.4 fp=[4] true=[3] merged=[3, 4]
148.7 fp=[4] true=[3] merged=[3, 4]
149.0 fp=[4] true=[3] merged=[3, 4]
149.3 fp=[4] true=[3] merged=[3, 4]
149.7 fp=[4] true=[3] merged=[3, 4]
150.0 fp=[4] true=[3] merged=[3, 4]
150.3 fp=[4] true=[3] merged=[3, 4]
150.6 fp=[4] true=[3] merged=[3, 4]
150.9 fp=[4] true=[3] merged=[3, 4]
151.2 fp=[4] true=[3] merged=[3, 4]
151.5 fp=[4] true=[3] merged=[3, 4]
151.8 fp=[4] true=[3] merged=[3, 4]
152.2 fp=[4] true=[3] merged=[3, 4]
152.5 fp=[4] true=[3] merged=[3, 4]
152.8 fp=[4] true=[3] merged=[3, 4]
153.1 fp=[4] true=[3] merged=[3, 4]
153.4 fp=[4] true=[3] merged=[3, 4]
153.7 fp=[4] true=[3] merged=[3, 4]
154.0 fp=[4] true=[3] merged=[3, 4]
154.4 fp=[4] true=[3] merged=[3, 4]
154.7 fp=[4] true=[3] merged=[3, 4]
155.0 fp=[4] true=[3] merged=[3, 4]
155.3 fp=[4] true=[3] merged=[3, 4]
155.6 fp=[4] true=[3] merged=[3, 4]
155.9 fp=[4] true=[3] merged=[3, 4]
156.2 fp=[4] true=[3] merged=[3, 4]
156.5 fp=[4] true=[3] merged=[3, 4]
156.9 fp=[4] true=[3] merged=[3, 4]
157.2 fp=[4] true=[3] merged=[3, 4]
157.5 fp=[4] true=[3] merged=[3, 4]
157.8 fp=[4] true=[3] merged=[3, 4]
158.1 fp=[4] true=[3] merged=[3, 4]
158.4 fp=[4] true=[3] merged=[3, 4]
158.7 fp=[4] true=[3] merged=[3, 4]
159.0 fp=[4] true=[3] merged=[3, 4]
159.4 fp=[4] true=[3] merged=[3, 4]
159.7 fp=[4] true=[3] merged=[3, 4]
160.0 fp=[4] true=[3] merged=[3, 4]
160.3 fp=[4] true=[3] merged=[3, 4]
160.6 fp=[4] true=[3] merged=[3, 4]
160.9 fp=[4] true=[3] merged=[3, 4]
161.3 fp=[5] true=[3] merged=[3, 5]
161.6 fp=[5] true=[3] merged=[3, 5]
161.9 fp=[5] true=[3] merged=[3, 5]
162.2 fp=[2] true=[3] merged=[2, 3]
162.5 fp=[2] true=[3] merged=[2, 3]
