1786892993.554,0.65,0.39,202.91,0.53,0.36,0.32,0.28
1786892994.059,0.43,0.40,197.89,0.49,0.36,0.31,0.32
1786892994.560,0.52,0.32,200.77,0.48,0.34,0.24,0.28
1786892995.063,0.56,0.36,192.79,0.57,0.62,0.55,0.37
1786892995.560,0.59,0.37,204.79,0.52,0.34,0.26,0.23
1786892996.067,0.57,0.35,192.01,0.41,0.29,0.24,0.28
1786892996.562,0.49,0.28,205.69,0.46,0.39,0.29,0.34
1786892997.071,0.59,0.40,199.48,0.53,0.34,0.36,0.30
1786892997.573,0.49,0.36,199.94,0.48,0.35,0.28,0.25
1786892998.076,0.54,0.27,208.81,0.66,0.41,0.37,0.32
1786892998.588,0.48,0.30,200.72,0.54,0.39,0.29,0.32
1786892999.097,0.70,0.34,203.22,0.48,0.32,0.30,0.25
1786892999.603,0.56,0.27,202.19,0.53,0.38,0.32,0.45
1786893000.108,0.54,0.31,195.71,0.45,0.28,0.34,0.29
1786893000.607,0.61,0.37,208.44,0.46,0.35,0.30,0.27
1786893001.118,0.57,0.36,201.47,0.80,0.55,0.51,0.41
1786893001.632,0.53,0.32,196.40,0.61,0.33,0.36,0.31
1786893002.132,3.64,0.56,191.90,0.53,0.35,0.32,0.43
1786893002.630,0.69,0.46,208.68,0.48,0.31,0.33,0.31
1786893003.142,0.53,0.28,198.33,0.83,0.44,0.45,0.50
1786893003.644,0.55,0.31,197.12,0.64,0.35,0.35,0.32
1786893004.145,0.52,0.29,204.29,0.72,0.73,0.35,0.22
1786893004.653,0.51,0.25,206.08,0.59,0.34,0.28,0.20
1786893005.161,0.48,0.43,197.85,0.52,0.29,0.26,0.30
1786893005.662,0.57,0.38,201.73,0.59,0.44,0.30,0.30
1786893006.167,0.50,0.37,199.02,0.56,0.38,0.40,0.41
1786893006.670,0.54,0.31,208.73,0.46,0.28,0.26,0.26
1786893007.181,0.54,0.32,190.73,0.46,0.31,0.25,0.23
1786893007.674,0.53,0.30,200.00,0.56,0.36,0.36,0.31
1786893008.177,0.55,0.32,196.22,0.55,0.34,0.29,0.30
1786893008.676,0.51,0.31,195.51,0.49,0.41,0.33,0.33
1786893009.179,0.54,0.32,203.90,0.52,0.51,0.27,0.25
1786893009.686,0.53,0.30,210.14,0.42,0.29,0.28,0.24
1786893010.199,0.52,0.30,197.48,0.50,0.31,0.32,0.29
1786893010.699,0.57,0.35,201.38,0.51,0.34,0.29,0.34
1786893011.203,0.45,0.30,192.14,0.50,0.31,0.29,0.29
1786893011.698,0.55,0.35,198.14,0.50,0.29,0.27,0.29
1786893012.199,0.53,0.31,198.02,0.56,0.35,0.31,0.33
1786893012.700,0.54,0.25,192.73,0.46,0.26,0.27,0.26
1786893013.196,0.57,0.32,192.13,0.82,0.35,0.41,0.31
1786893013.691,0.59,0.44,206.35,0.46,0.28,0.30,0.29
1786893014.203,0.68,0.56,210.55,0.59,0.33,0.30,0.26
1786893014.717,0.60,0.36,198.55,0.42,0.47,0.31,0.33
1786893015.219,0.49,0.36,190.85,0.40,0.31,0.27,0.31
1786893015.712,0.57,0.28,207.98,0.47,0.29,0.27,0.29
1786893016.223,0.43,0.32,205.06,0.54,0.34,0.31,0.27
1786893016.731,0.49,0.38,195.12,0.50,0.32,0.27,0.28
1786893017.228,0.49,0.33,205.27,0.55,0.31,0.32,0.38
1786893017.737,0.48,0.37,192.22,0.44,0.29,0.28,0.21
1786893018.232,0.48,0.36,200.93,1.05,0.42,0.28,0.31
1786893018.738,0.51,0.28,192.53,0.49,0.44,0.28,0.27
1786893019.235,0.48,0.35,194.47,0.49,0.33,0.26,0.24
1786893019.736,0.56,0.33,203.13,0.54,0.32,0.37,0.37
1786893020.242,0.54,0.31,199.06,0.53,0.31,0.31,0.39
1786893020.744,0.49,0.30,207.38,0.48,0.28,0.29,0.28
1786893021.259,0.59,0.34,209.48,0.51,0.33,0.37,0.37
1786893021.771,0.46,0.36,208.72,0.47,0.40,0.36,0.38
1786893022.283,0.46,0.40,208.80,0.56,0.43,0.40,0.38
