arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
C_predictor,9,4,1,3,3,8,1786331774.161152023,1786331787.666780416,W1,1,1,3,0,2,1,1,3,0,2,1,0,5,0,1
C_predictor,9,4,1,3,3,9,1786331787.676493455,1786331801.223362861,W1,1,1,3,0,2,1,1,3,0,2,5,0,2,0,1
C_predictor,9,4,1,3,3,10,1786331801.226835261,1786331814.762471497,W1,1,1,3,0,2,1,1,3,0,2,2,0,5,0,1
A_vanilla,9,4,1,3,4,1,1786331824.425009669,1786331837.929165143,W1,1,1,3,0,2,1,1,3,0,2,5,0,7,0,1
A_vanilla,9,4,1,3,4,2,1786331837.940893975,1786331851.440901431,W1,1,1,3,0,2,1,1,3,0,2,7,0,2,0,1
A_vanilla,9,4,1,3,4,3,1786331851.454365460,1786331864.945404995,W1,1,1,3,0,2,1,1,3,0,2,2,0,7,0,1
A_vanilla,9,4,1,3,4,4,1786331864.951732280,1786331878.469971411,W1,1,1,3,0,2,1,1,3,0,2,7,0,2,0,1
A_vanilla,9,4,1,3,4,5,1786331878.478944776,1786331891.987013247,W1,1,1,3,0,2,1,1,3,0,2,2,0,6,0,1
A_vanilla,9,4,1,3,4,6,1786331892.001470929,1786331905.496362454,W1,1,1,3,0,2,1,1,3,0,2,6,0,1,0,1
A_vanilla,9,4,1,3,4,7,1786331905.509871814,1786331919.008347044,W1,1,1,3,0,2,1,1,3,0,2,1,0,6,0,1
A_vanilla,9,4,1,3,4,8,1786331919.021731886,1786331932.549126023,W1,1,1,3,0,2,1,1,3,0,2,6,0,1,0,1
A_vanilla,9,4,1,3,4,9,1786331932.559040717,1786331946.048382939,W1,1,1,3,0,2,1,1,3,0,2,1,0,7,0,1
A_vanilla,9,4,1,3,4,10,1786331946.052606609,1786331959.550665797,W1,1,1,3,0,2,1,1,3,0,2,7,0,9,0,1
B_oracle,9,4,1,3,4,1,1786331968.335845279,1786331981.858688678,W1,1,1,3,0,2,1,1,3,0,2,9,0,2,0,1
B_oracle,9,4,1,3,4,2,1786331981.866489580,1786331995.379557734,W1,1,1,3,0,2,1,1,3,0,2,2,0,7,0,1
B_oracle,9,4,1,3,4,3,1786331995.395320712,1786332008.890075478,W1,1,1,3,0,2,1,1,3,0,2,7,0,4,0,1
B_oracle,9,4,1,3,4,4,1786332008.907134110,1786332022.388367395,W1,1,1,3,0,2,1,1,3,0,2,4,0,1,0,1
B_oracle,9,4,1,3,4,5,1786332022.413442432,1786332035.915272825,W1,1,1,3,0,2,1,1,3,0,2,1,0,7,0,1
B_oracle,9,4,1,3,4,6,1786332035.930634790,1786332049.446511669,W1,1,1,3,0,2,1,1,3,0,2,7,0,9,0,1
B_oracle,9,4,1,3,4,7,1786332049.466567346,1786332063.015699655,W1,1,1,3,0,2,1,1,3,0,2,9,0,4,0,1
B_oracle,9,4,1,3,4,8,1786332063.034647344,1786332076.511397568,W1,1,1,3,0,2,1,1,3,0,2,4,0,8,0,1
B_oracle,9,4,1,3,4,9,1786332076.516366365,1786332090.029221853,W1,1,1,3,0,2,1,1,3,0,2,8,0,1,0,1
B_oracle,9,4,1,3,4,10,1786332090.046995140,1786332103.550626594,W1,1,1,3,0,2,1,1,3,0,2,1,0,7,0,1
C_predictor,9,4,1,3,4,1,1786332111.884702326,1786332125.459132342,W1,1,1,3,0,2,1,1,3,0,2,7,0,2,0,1
C_predictor,9,4,1,3,4,2,1786332125.471308547,1786332139.000074278,W1,1,1,3,0,2,1,1,3,0,2,2,0,9,0,1
C_predictor,9,4,1,3,4,3,1786332139.016189049,1786332152.525654826,W1,1,1,3,0,2,1,1,3,0,2,9,0,5,0,1
C_predictor,9,4,1,3,4,4,1786332152.538256084,1786332166.100897431,W1,1,1,3,0,2,1,1,3,0,2,5,0,2,0,1
C_predictor,9,4,1,3,4,5,1786332166.106501387,1786332179.651538382,W1,1,1,3,0,2,1,1,3,0,2,2,0,1,0,1
C_predictor,9,4,1,3,4,6,1786332179.655254257,1786332193.186447177,W1,1,1,3,0,2,1,1,3,0,2,1,0,7,0,1
C_predictor,9,4,1,3,4,7,1786332193.209995487,1786332206.759625263,W1,1,1,3,0,2,1,1,3,0,2,7,0,1,0,1
C_predictor,9,4,1,3,4,8,1786332206.765351653,1786332220.282047507,W1,1,1,3,0,2,1,1,3,0,2,1,0,6,0,1
C_predictor,9,4,1,3,4,9,1786332220.290073759,1786332233.831929677,W1,1,1,3,0,2,1,1,3,0,2,6,0,7,0,1
C_predictor,9,4,1,3,4,10,1786332233.846594339,1786332247.429837432,W1,1,1,3,0,2,1,1,3,0,2,7,0,5,0,1
