# start rate=20 seed=5 dur=420 n=7 target=3 events=74
187.7 fp=[5] true=[3] merged=[3, 5]
188.0 fp=[5] true=[3] merged=[3, 5]
188.3 fp=[5] true=[3] merged=[3, 5]
188.6 fp=[5] true=[3] merged=[3, 5]
188.9 fp=[5] true=[3] merged=[3, 5]
189.3 fp=[5] true=[3] merged=[3, 5]
189.6 fp=[5] true=[3] merged=[3, 5]
189.9 fp=[5] true=[3] merged=[3, 5]
190.2 fp=[5] true=[3] merged=[3, 5]
190.5 fp=[5] true=[3] merged=[3, 5]
190.8 fp=[5] true=[3] merged=[3, 5]
191.1 fp=[5] true=[3] merged=[3, 5]
