tps,seed,p50_raft,p95_raft,p99_raft,p50_ai,p95_ai,p99_ai,p50_bft,p95_bft,p99_bft
500,4,115.36072272066971,119.09797971253234,121.95635171805804,114.89596373517657,118.85829439834299,121.77859777121888,130.9255601860826,135.67460060913257,138.18554379510357
500,5,115.30978542734607,119.34872560460498,121.52455220830747,114.84185775233485,118.86140845348113,121.28448891886205,130.69716059437877,135.28489734953595,138.633477618192
500,6,115.40164454458329,119.04223862242071,122.35601998103658,114.88247199013497,118.1490238110802,120.18687538349276,130.7506736253813,135.0099199876142,139.19650236489719
500,7,115.39297675534146,119.2314969379027,121.51908433608043,114.82100870211323,119.1482089002015,121.1547700223686,130.74939465331136,136.25052711733176,138.38927861825107
500,8,115.2259905523355,119.30100002559377,121.56974968335349,115.00476366316408,118.62173095808136,121.02737124767967,131.0324596918719,136.5041804769243,138.7180972051026
500,9,115.39739376678673,119.34175127530725,121.2765030767178,114.97328374730431,118.78954245438582,120.80742577036222,130.97214551537667,136.46034362554246,138.77282781788253
500,10,115.50954315317549,119.21205832627518,121.41225146649718,114.99918423206874,118.70808048938514,120.1417802374824,130.9907998277103,135.3664578456088,137.86185947994562
500,11,115.32730849585553,119.13638635947167,121.61706181939645,114.89021927298262,118.75191564791423,121.09421002150803,131.11775317402612,135.6890187634071,137.40608385949122
500,12,115.46574609543094,119.69416153087724,122.10938793868493,114.90789844031289,119.09511069302626,121.2592652605944,131.01920335489626,136.27867177866494,138.7287797585602
500,13,115.42599021019689,119.79731918426121,123.2105738822232,114.87536812488062,118.82567250273449,121.31354624990414,130.9110623048812,135.20500748477684,137.78813273349658
500,14,115.53873241718199,119.7190400134016,121.29772125564,114.7894288533694,118.87702566296139,120.61304155466671,131.04092620451829,135.78916077423997,138.0742315227976
500,15,115.53239910394912,119.11789463157432,120.98159619440868,115.02125865451214,118.98299475024797,120.69928762477596,131.0082951864223,135.23841843072805,137.84423672723898
500,16,115.42956764259023,119.6909823101313,122.52246000073617,114.97340762070775,118.73371022565419,120.75604568189581,131.02218779313745,135.959069321528,139.05625964442916
500,17,115.30013955808826,118.81967944722044,120.83724978262929,114.82009495115321,118.33126431932043,120.56430414243248,131.01514344016493,135.29506141533764,138.62661091713974
500,18,115.38855960731773,119.43352143160502,121.50878249761678,115.11853632280187,119.1639673271231,121.93762202594918,131.16931208845853,135.52369710982668,138.42919264967765
500,19,115.41843651514286,119.23310064585485,121.61542029129451,114.80580748268736,118.81332851576339,122.25942726773904,130.9581477849805,135.51513988803268,139.18697623701925
500,20,115.35220284095828,119.42767578560343,121.73584795720167,114.90781006236016,118.9193794709267,122.62599318068128,131.01186911418498,136.00929088112773,140.0191921737813
500,21,115.54341488659355,119.21090463564994,121.1219554347875,115.15408244817,119.24433491923713,121.85154810404052,130.88891861185664,136.1425950475725,139.8040772396391
500,22,115.31809262889159,119.46291213430393,123.02103102872839,114.77342776829047,118.90538651718177,121.03120500629689,130.93738722200416,135.91414213262397,139.1521009780523
500,23,115.43002557728062,120.0400218532052,121.91969796466856,114.92514768017642,118.8663235498255,122.36915047193517,130.7945478248649,135.3007616022936,137.8886404525102
500,24,115.54023471011135,118.62835029458748,120.75896032329565,115.12922187105931,119.0209568851393,121.0634759865867,130.98630047117618,135.94776312722593,138.696634399661
500,25,115.50191139089146,119.56834044182152,122.831486351048,114.93117194866709,118.6290724440946,121.412199716436,131.0045533751987,135.67278305592075,139.650417484371
500,26,115.56390674846133,119.42712286371491,122.03089203162884,114.82210880728906,118.96159911910016,122.03120460703094,130.88670368463448,136.46145441093205,142.98721868689105
500,27,115.43499205131845,119.59153012546088,121.99092996251183,114.94293547180729,118.99539787989222,121.18559812774016,130.93832805317413,135.68529093798224,138.322207751598
500,28,115.5710759221018,119.66809650198104,121.0552842234105,114.92372549306218,118.63144442391815,121.53106473778266,130.85079326981975,135.4269243897847,138.0465385482416
500,29,115.3213784952558,118.82024733864748,121.85353460065717,114.93654608741184,118.71517391218329,120.99316251819758,131.05564979933504,135.84391774923313,138.06864971941212
