delta,seed,auc_empirical,auc_theory
0.3,18,0.5862871111111111,0.5839979857136818
0.3,19,0.5909608888888889,0.5839979857136818
0.3,20,0.5949977777777777,0.5839979857136818
0.3,21,0.5958142222222222,0.5839979857136818
0.3,22,0.5931973333333334,0.5839979857136818
0.3,23,0.5943782222222223,0.5839979857136818
0.3,24,0.5842004444444444,0.5839979857136818
0.3,25,0.5780244444444445,0.5839979857136818
0.3,26,0.5857937777777777,0.5839979857136818
0.3,27,0.5750728888888889,0.5839979857136818
0.3,28,0.579272888888889,0.5839979857136818
0.3,29,0.5826257777777778,0.5839979857136818
0.5,0,0.6250604444444445,0.6381631950841185
0.5,1,0.6609431111111111,0.6381631950841185
0.5,2,0.6581324444444444,0.6381631950841185
0.5,3,0.627636,0.6381631950841185
0.5,4,0.6362657777777778,0.6381631950841185
0.5,5,0.6401977777777778,0.6381631950841185
0.5,6,0.6324702222222223,0.6381631950841185
0.5,7,0.6515457777777778,0.6381631950841185
0.5,8,0.6508982222222222,0.6381631950841185
0.5,9,0.6288164444444444,0.6381631950841185
0.5,10,0.6409786666666667,0.6381631950841185
0.5,11,0.6453173333333333,0.6381631950841185
0.5,12,0.6333008888888889,0.6381631950841185
0.5,13,0.6436351111111112,0.6381631950841185
0.5,14,0.642888,0.6381631950841185
0.5,15,0.6210688888888889,0.6381631950841185
0.5,16,0.6364942222222223,0.6381631950841185
0.5,17,0.6321991111111112,0.6381631950841185
0.5,18,0.6395146666666667,0.6381631950841185
0.5,19,0.64606,0.6381631950841185
0.5,20,0.6495662222222223,0.6381631950841185
0.5,21,0.6506937777777778,0.6381631950841185
0.5,22,0.6475475555555557,0.6381631950841185
0.5,23,0.6487217777777778,0.6381631950841185
0.5,24,0.6384497777777778,0.6381631950841185
0.5,25,0.6309306666666668,0.6381631950841185
0.5,26,0.639979111111111,0.6381631950841185
0.5,27,0.6303591111111111,0.6381631950841185
0.5,28,0.6333968888888888,0.6381631950841185
0.5,29,0.6364395555555555,0.6381631950841185
0.75,0,0.6903053333333333,0.7020584547174111
0.75,1,0.7236786666666667,0.7020584547174111
0.75,2,0.7199648888888889,0.7020584547174111
0.75,3,0.6919066666666667,0.7020584547174111
0.75,4,0.7009888888888889,0.7020584547174111
0.75,5,0.7040653333333333,0.7020584547174111
0.75,6,0.6970653333333333,0.7020584547174111
0.75,7,0.7149346666666667,0.7020584547174111
0.75,8,0.7127582222222222,0.7020584547174111
0.75,9,0.6920595555555555,0.7020584547174111
0.75,10,0.705696,0.7020584547174111
0.75,11,0.7083675555555555,0.7020584547174111
0.75,12,0.6976311111111111,0.7020584547174111
0.75,13,0.7075688888888889,0.7020584547174111
0.75,14,0.7060537777777778,0.7020584547174111
0.75,15,0.6864831111111112,0.7020584547174111
0.75,16,0.6989342222222222,0.7020584547174111
0.75,17,0.696304888888889,0.7020584547174111
0.75,18,0.7023555555555555,0.7020584547174111
0.75,19,0.7105226666666666,0.7020584547174111
0.75,20,0.7133973333333333,0.7020584547174111
0.75,21,0.7153888888888889,0.7020584547174111
0.75,22,0.7113675555555555,0.7020584547174111
0.75,23,0.7124448888888889,0.7020584547174111
0.75,24,0.7025017777777778,0.7020584547174111
0.75,25,0.6933764444444445,0.7020584547174111
0.75,26,0.7039706666666666,0.7020584547174111
0.75,27,0.6957382222222221,0.7020584547174111
0.75,28,0.6977733333333334,0.7020584547174111
