rho,seed,empirical_gap,theoretical_gap,mse_bayes,mse_memoryless
0.7,0,0.9421031832365194,0.96078431372549,0.9908340867523029,1.9329372699888223
0.7,1,0.9515374887868837,0.96078431372549,1.001534493995344,1.9530719827822278
0.7,2,0.889542403662231,0.96078431372549,1.0027967024949218,1.8923391061571528
0.7,3,1.0029701151116859,0.96078431372549,1.0102986668711997,2.0132687819828856
0.7,4,0.9531227353598943,0.96078431372549,0.9835689372718823,1.9366916726317767
0.7,5,1.037122525983291,0.96078431372549,1.0146732723094687,2.0517957982927597
0.7,6,0.9801945191135926,0.96078431372549,1.0027058219651033,1.9829003410786958
0.7,7,1.016571255438952,0.96078431372549,0.9881379855592608,2.004709240998213
0.7,8,0.9436877108886308,0.96078431372549,1.0154684584303053,1.959156169318936
0.7,9,0.999556993889734,0.96078431372549,1.028853243400904,2.028410237290638
0.7,10,0.9542840726712699,0.96078431372549,0.989622412594294,1.9439064852655639
0.7,11,1.0356473601296756,0.96078431372549,0.9995226943700966,2.035170054499772
0.7,12,0.9610961722901943,0.96078431372549,0.9917774575089993,1.9528736297991935
0.7,13,1.0036664489533007,0.96078431372549,1.01128360172646,2.0149500506797606
0.7,14,0.9686103188922295,0.96078431372549,0.9922734181672226,1.960883737059452
0.7,15,0.9880986360517691,0.96078431372549,0.9999486669134531,1.9880473029652221
0.7,16,0.9424505581485849,0.96078431372549,0.9972239352726435,1.9396744934212284
0.7,17,1.0243668852706063,0.96078431372549,1.0026147088230641,2.0269815940936704
0.7,18,1.006397181584816,0.96078431372549,1.0289653830234704,2.0353625646082865
0.7,19,0.9574291694132757,0.96078431372549,0.987121200438184,1.9445503698514597
0.7,20,1.0249521625084559,0.96078431372549,1.0032969295696255,2.0282490920780814
0.7,21,0.9889899777801215,0.96078431372549,0.9739830338054617,1.9629730115855832
0.7,22,0.918409248116699,0.96078431372549,0.9968013178700792,1.9152105659867782
0.7,23,1.059843577376089,0.96078431372549,1.0051306241826383,2.0649742015587274
0.7,24,0.8995280317659834,0.96078431372549,0.9851607582909298,1.8846887900569131
0.7,25,0.9904934914346217,0.96078431372549,1.0301948574553323,2.020688348889954
0.7,26,0.8458064394007543,0.96078431372549,0.9991280532496956,1.8449344926504498
0.7,27,0.993668084137424,0.96078431372549,0.9938110815344946,1.9874791656719186
0.7,28,1.0708633596427726,0.96078431372549,1.0009821793182851,2.0718455389610577
0.7,29,0.9343138814724004,0.96078431372549,1.0144754151621604,1.9487892966345608
0.8,0,1.7411004924647655,1.7777777777777788,0.9908340867523029,2.7319345792170684
0.8,1,1.7696947713212192,1.7777777777777788,1.001534493995344,2.7712292653165633
0.8,2,1.6556119307263129,1.7777777777777788,1.0027967024949218,2.6584086332212347
0.8,3,1.8326297673884753,1.7777777777777788,1.0102986668711997,2.842928434259675
0.8,4,1.7873497303984816,1.7777777777777788,0.9835689372718822,2.770918667670364
0.8,5,1.9325669837247303,1.7777777777777788,1.0146732723094687,2.947240256034199
0.8,6,1.809296756995188,1.7777777777777788,1.0027058219651033,2.8120025789602914
0.8,7,1.9040171318275072,1.7777777777777788,0.9881379855592608,2.892155117386768
0.8,8,1.7699175850748092,1.7777777777777788,1.0154684584303053,2.7853860435051145
0.8,9,1.8420786367191788,1.7777777777777788,1.028853243400904,2.8709318801200827
0.8,10,1.805681046220084,1.7777777777777788,0.989622412594294,2.795303458814378
0.8,11,1.9222908984094993,1.7777777777777788,0.9995226943700966,2.921813592779596
0.8,12,1.7488777359916503,1.7777777777777788,0.9917774575089993,2.7406551935006496
0.8,13,1.8327994472710576,1.7777777777777788,1.01128360172646,2.8440830489975175
0.8,14,1.8280527388970103,1.7777777777777788,0.9922734181672226,2.820326157064233
0.8,15,1.821867872068704,1.7777777777777788,0.9999486669134531,2.8218165389821572
0.8,16,1.7060174179269978,1.7777777777777788,0.9972239352726435,2.7032413531996413
0.8,17,1.9517670631391644,1.7777777777777788,1.0026147088230641,2.9543817719622285
