seed,tau,alpha
58,0.1,1.7408724362858936
58,0.2,2.139612789466475
58,0.3,2.7445542274374426
58,0.5,3.6096135856420544
58,0.8,3.685514395215258
58,1.0,4.076929018593826
59,0.0,1.891738635318886
59,0.05,1.9273250920255247
59,0.1,1.8701752708945214
59,0.2,2.1824056719337515
59,0.3,2.580315975393337
59,0.5,3.265287674354614
59,0.8,4.131085931907803
59,1.0,4.078069334324421
60,0.0,1.8580876723068562
60,0.05,1.964949750881878
60,0.1,1.854958013463536
60,0.2,2.218783823571059
60,0.3,2.796678378128609
60,0.5,3.297333597618279
60,0.8,4.139724481222157
60,1.0,4.279207970370693
61,0.0,1.865836011984192
61,0.05,1.9120549414199401
61,0.1,1.937561406744433
61,0.2,2.297240533310368
61,0.3,2.6427668506739805
61,0.5,3.102843086414964
61,0.8,4.167225797393654
61,1.0,4.777578735420581
62,0.0,1.8810389712069044
62,0.05,1.9013063045637169
62,0.1,1.8881858243724743
62,0.2,2.1474654977150927
62,0.3,2.821321287726417
62,0.5,3.3638645751847553
62,0.8,4.333638387716707
62,1.0,4.561827655949502
63,0.0,1.8852834533544434
63,0.05,1.8215099069086336
63,0.1,1.8940707669635082
63,0.2,2.255057317163081
63,0.3,2.5346307937623065
63,0.5,3.343836815033676
63,0.8,3.846024722001565
63,1.0,4.001237945862647
64,0.0,1.8702230198574414
64,0.05,1.8717361929618728
64,0.1,1.9453753418935356
64,0.2,2.3006472813054013
64,0.3,2.5404574701842533
64,0.5,3.33386616587306
64,0.8,4.215126172907181
64,1.0,4.320068290674648
65,0.0,1.8954110652061673
65,0.05,2.0203644666195046
65,0.1,1.8058274542770791
65,0.2,2.214186561566845
65,0.3,2.6999620911315683
65,0.5,3.3864352445893995
65,0.8,4.143532895837215
65,1.0,4.181733541298636
66,0.0,1.9216010860011554
66,0.05,1.956718104338552
66,0.1,1.888409604960743
66,0.2,2.128847430814131
66,0.3,2.7916288022845728
66,0.5,3.7098553842258184
66,0.8,4.4365738284634535
66,1.0,4.425039628857189
67,0.0,1.8536908507029677
67,0.05,1.7895624583769691
67,0.1,1.7717742529843583
67,0.2,2.172696335831827
67,0.3,2.517273244687643
67,0.5,3.290466220957503
67,0.8,3.7946736960674756
67,1.0,4.132676512912016
68,0.0,1.8301547015652542
68,0.05,1.8077093450040531
68,0.1,1.8845512521768317
68,0.2,2.133610102531969
68,0.3,2.5006258379362936
68,0.5,3.1684573561184353
68,0.8,3.7470088169629183
68,1.0,4.268487999937094
69,0.0,1.871172779194392
69,0.05,1.8602245738334182
69,0.1,1.88322405775003
69,0.2,2.2455575306314466
69,0.3,2.7321545038368744
69,0.5,3.478750889081218
69,0.8,3.9215315487003153
69,1.0,3.9659067204559797
70,0.0,1.894547977392768
70,0.05,1.8856423666032696
70,0.1,1.9592761149919309
70,0.2,2.1148270852882742
70,0.3,2.696109126285111
70,0.5,3.1294491419074895
70,0.8,4.2382418972074545
70,1.0,4.3964602957055625
71,0.0,1.9379135976759192
71,0.05,1.898315855507605
71,0.1,1.9649395567497436
71,0.2,2.146624223813458
71,0.3,2.4747265866293406
71,0.5,3.3118683987441857
71,0.8,4.206353893040248
71,1.0,4.380930996727957
