channel,n_tasks,hc_count,lc_count,hc_miss,lc_miss,hc_miss_rate,lc_miss_rate,p99_latency_ms,n_channels,seed
38,1000,96,904,0,904,0.0,1.0,74.18126524923353,64,1
39,1000,114,886,0,886,0.0,1.0,72.14674894304163,64,1
40,1000,94,906,0,906,0.0,1.0,73.65530089887102,64,1
41,1000,91,909,0,909,0.0,1.0,76.76679640030639,64,1
42,1000,101,899,0,899,0.0,1.0,73.16723119934443,64,1
43,1000,89,911,0,911,0.0,1.0,76.11900718199529,64,1
44,1000,90,910,0,910,0.0,1.0,74.09177763274694,64,1
45,1000,106,894,0,894,0.0,1.0,73.63022719519638,64,1
46,1000,97,903,0,903,0.0,1.0,76.80258660973517,64,1
47,1000,102,898,0,898,0.0,1.0,74.2746215215317,64,1
48,1000,91,909,0,909,0.0,1.0,73.50122329467987,64,1
49,1000,87,913,0,913,0.0,1.0,73.2343495541817,64,1
50,1000,94,906,0,906,0.0,1.0,74.70424190933556,64,1
51,1000,114,886,0,886,0.0,1.0,71.94417911952235,64,1
52,1000,85,915,0,915,0.0,1.0,77.28627940847716,64,1
53,1000,110,890,0,890,0.0,1.0,72.6097148729417,64,1
54,1000,111,889,0,889,0.0,1.0,75.52602182139881,64,1
55,1000,106,894,0,894,0.0,1.0,74.74075956552612,64,1
56,1000,75,925,0,925,0.0,1.0,72.00792564361342,64,1
57,1000,99,901,0,901,0.0,1.0,75.74618072690711,64,1
58,1000,101,899,0,899,0.0,1.0,72.67142376984593,64,1
59,1000,95,905,0,905,0.0,1.0,72.42183612563247,64,1
60,1000,98,902,0,902,0.0,1.0,71.97836976127866,64,1
61,1000,96,904,0,904,0.0,1.0,74.74255941359367,64,1
62,1000,99,901,0,901,0.0,1.0,74.3662301611535,64,1
63,1000,103,897,0,897,0.0,1.0,71.59337362453101,64,1
0,1000,114,886,0,886,0.0,1.0,75.6622794049886,64,2
1,1000,100,900,0,900,0.0,1.0,76.51214952732967,64,2
2,1000,110,890,0,890,0.0,1.0,72.64970726341303,64,2
3,1000,96,904,0,904,0.0,1.0,73.41890213480553,64,2
4,1000,85,915,0,915,0.0,1.0,71.1222046370864,64,2
5,1000,98,902,0,902,0.0,1.0,73.81583446892459,64,2
6,1000,108,892,0,892,0.0,1.0,74.91980839173377,64,2
7,1000,109,891,0,891,0.0,1.0,76.21210360832082,64,2
8,1000,95,905,0,905,0.0,1.0,72.78505367646542,64,2
9,1000,90,910,0,910,0.0,1.0,74.101676310601,64,2
