epsilon,precommit,trial,coalition_utility,honest_utility,coalition_advantage
1.0,False,27,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,28,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,29,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,30,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,31,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,32,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,33,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,34,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,35,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,36,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,37,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,38,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,39,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,40,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,41,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,42,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,43,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,44,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,45,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,46,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,47,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,48,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,49,-5.7137084989847615,1.6,-7.313708498984761
1.0,True,0,0.8269429326176998,1.6,-0.7730570673823003
1.0,True,1,-3.1306740399741257,1.6,-4.730674039974126
1.0,True,2,-3.4118513429806128,1.6,-5.011851342980613
1.0,True,3,-1.158963562494176,1.6,-2.758963562494176
1.0,True,4,2.8,1.6,1.1999999999999997
1.0,True,5,0.5967053556625577,1.6,-1.0032946443374424
1.0,True,6,2.8,1.6,1.1999999999999997
1.0,True,7,-2.1016153910058697,1.6,-3.70161539100587
1.0,True,8,-6.101073878010059,1.6,-7.7010738780100585
1.0,True,9,0.023488216134890383,1.6,-1.5765117838651097
1.0,True,10,2.8,1.6,1.1999999999999997
1.0,True,11,2.8,1.6,1.1999999999999997
1.0,True,12,-0.9116963170088899,1.6,-2.51169631700889
1.0,True,13,-1.115637246519523,1.6,-2.715637246519523
1.0,True,14,2.8,1.6,1.1999999999999997
1.0,True,15,-3.262200396979862,1.6,-4.862200396979862
1.0,True,16,2.8,1.6,1.1999999999999997
1.0,True,17,2.8,1.6,1.1999999999999997
1.0,True,18,2.8,1.6,1.1999999999999997
1.0,True,19,-2.294453560828584,1.6,-3.894453560828584
1.0,True,20,1.107096823877979,1.6,-0.49290317612202106
1.0,True,21,2.8,1.6,1.1999999999999997
1.0,True,22,-1.8247326595519406,1.6,-3.4247326595519407
1.0,True,23,1.3788569003893483,1.6,-0.22114309961065182
1.0,True,24,2.8,1.6,1.1999999999999997
1.0,True,25,-9.181018566433826,1.6,-10.781018566433826
1.0,True,26,2.8,1.6,1.1999999999999997
1.0,True,27,-4.159695815325364,1.6,-5.7596958153253635
1.0,True,28,-0.9879917589448932,1.6,-2.5879917589448933
1.0,True,29,-1.2716077210195986,1.6,-2.8716077210195987
1.0,True,30,2.8,1.6,1.1999999999999997
1.0,True,31,0.600618159922115,1.6,-0.9993818400778851
1.0,True,32,2.8,1.6,1.1999999999999997
1.0,True,33,-0.01088730405386551,1.6,-1.6108873040538656
1.0,True,34,1.3660635599277424,1.6,-0.23393644007225767
1.0,True,35,2.8,1.6,1.1999999999999997
1.0,True,36,-0.7454587315078176,1.6,-2.3454587315078177
1.0,True,37,1.1431528683227188,1.6,-0.4568471316772813
1.0,True,38,-1.5590880549099384,1.6,-3.1590880549099385
1.0,True,39,-1.3949034512414191,1.6,-2.994903451241419
1.0,True,40,-3.0002640743655085,1.6,-4.6002640743655085
1.0,True,41,-2.8685431011733757,1.6,-4.468543101173376
1.0,True,42,-3.466785505702244,1.6,-5.066785505702244
1.0,True,43,-1.5854677476746732,1.6,-3.1854677476746733
1.0,True,44,2.8,1.6,1.1999999999999997
1.0,True,45,-0.14862326966665718,1.6,-1.7486232696666573
1.0,True,46,2.8,1.6,1.1999999999999997
1.0,True,47,-1.2239168222277468,1.6,-2.823916822227747
1.0,True,48,2.8,1.6,1.1999999999999997
1.0,True,49,-1.1007514347227496,1.6,-2.7007514347227497
2.0,False,0,-17.02741699796952,1.6,-18.627416997969522
