epsilon,precommit,trial,coordinated,coalition_utility,advantage_vs_honest
0.1,True,2,False,1.6,0.0
0.1,True,3,True,4.6000000000000005,3.0000000000000004
0.1,True,4,False,1.6,0.0
0.1,True,5,True,4.6000000000000005,3.0000000000000004
0.1,True,6,False,1.6,0.0
0.1,True,7,False,1.6,0.0
0.1,True,8,False,1.6,0.0
0.1,True,9,False,1.6,0.0
0.1,True,10,True,4.6000000000000005,3.0000000000000004
0.1,True,11,True,4.6000000000000005,3.0000000000000004
0.1,True,12,True,4.6000000000000005,3.0000000000000004
0.1,True,13,True,4.6000000000000005,3.0000000000000004
0.1,True,14,True,4.6000000000000005,3.0000000000000004
0.1,True,15,True,4.6000000000000005,3.0000000000000004
0.1,True,16,True,4.6000000000000005,3.0000000000000004
0.1,True,17,False,1.6,0.0
0.1,True,18,True,4.6000000000000005,3.0000000000000004
0.1,True,19,False,1.6,0.0
0.1,True,20,True,4.6000000000000005,3.0000000000000004
0.1,True,21,False,1.6,0.0
0.1,True,22,False,1.6,0.0
0.1,True,23,False,1.6,0.0
0.1,True,24,False,1.6,0.0
0.1,True,25,True,4.6000000000000005,3.0000000000000004
0.1,True,26,True,4.6000000000000005,3.0000000000000004
0.1,True,27,True,4.6000000000000005,3.0000000000000004
0.1,True,28,True,4.6000000000000005,3.0000000000000004
0.1,True,29,True,4.6000000000000005,3.0000000000000004
0.1,True,30,True,4.6000000000000005,3.0000000000000004
0.1,True,31,True,4.6000000000000005,3.0000000000000004
0.1,True,32,False,1.6,0.0
0.1,True,33,False,1.6,0.0
0.1,True,34,True,4.6000000000000005,3.0000000000000004
0.1,True,35,True,4.6000000000000005,3.0000000000000004
0.1,True,36,False,1.6,0.0
0.1,True,37,True,4.6000000000000005,3.0000000000000004
0.1,True,38,False,1.6,0.0
0.1,True,39,False,1.6,0.0
0.1,True,40,True,4.6000000000000005,3.0000000000000004
0.1,True,41,False,1.6,0.0
0.1,True,42,True,4.6000000000000005,3.0000000000000004
0.1,True,43,False,1.6,0.0
0.1,True,44,False,1.6,0.0
0.1,True,45,True,4.6000000000000005,3.0000000000000004
0.1,True,46,False,1.6,0.0
0.1,True,47,False,1.6,0.0
0.1,True,48,False,1.6,0.0
0.1,True,49,True,4.6000000000000005,3.0000000000000004
0.1,True,50,True,4.6000000000000005,3.0000000000000004
0.1,True,51,False,1.6,0.0
0.1,True,52,True,4.6000000000000005,3.0000000000000004
0.1,True,53,True,4.6000000000000005,3.0000000000000004
0.1,True,54,True,4.6000000000000005,3.0000000000000004
0.1,True,55,False,1.6,0.0
0.1,True,56,True,4.6000000000000005,3.0000000000000004
0.1,True,57,True,4.6000000000000005,3.0000000000000004
0.1,True,58,False,1.6,0.0
0.1,True,59,True,4.6000000000000005,3.0000000000000004
0.1,True,60,False,1.6,0.0
0.1,True,61,False,1.6,0.0
0.1,True,62,False,1.6,0.0
0.1,True,63,True,4.6000000000000005,3.0000000000000004
0.1,True,64,True,4.6000000000000005,3.0000000000000004
0.1,True,65,True,4.6000000000000005,3.0000000000000004
0.1,True,66,True,4.6000000000000005,3.0000000000000004
0.1,True,67,True,4.6000000000000005,3.0000000000000004
0.1,True,68,False,1.6,0.0
0.1,True,69,False,1.6,0.0
0.1,True,70,False,1.6,0.0
0.1,True,71,True,4.6000000000000005,3.0000000000000004
0.1,True,72,True,4.6000000000000005,3.0000000000000004
0.1,True,73,True,4.6000000000000005,3.0000000000000004
0.1,True,74,True,4.6000000000000005,3.0000000000000004
0.1,True,75,True,4.6000000000000005,3.0000000000000004
0.1,True,76,False,1.6,0.0
0.1,True,77,True,4.6000000000000005,3.0000000000000004
0.1,True,78,False,1.6,0.0
0.1,True,79,True,4.6000000000000005,3.0000000000000004
0.1,True,80,False,1.6,0.0
0.1,True,81,False,1.6,0.0
0.1,True,82,False,1.6,0.0
0.1,True,83,True,4.6000000000000005,3.0000000000000004
0.1,True,84,False,1.6,0.0
0.1,True,85,True,4.6000000000000005,3.0000000000000004
0.1,True,86,True,4.6000000000000005,3.0000000000000004
