workload,hc_frac,trial,scheduler,hc_miss_rate,lc_miss_rate
smallbank,0.3,2,PSR (slack-aware),0.0,1.0
smallbank,0.3,3,EDF (baseline),0.9090909090909091,0.9522388059701492
smallbank,0.3,3,LST,0.9878787878787879,0.9880597014925373
smallbank,0.3,3,EQDF,0.9030303030303031,0.9492537313432836
smallbank,0.3,3,PSR (primary),0.0,1.0
smallbank,0.3,3,PSR (slack-aware),0.0,1.0
smallbank,0.3,4,EDF (baseline),0.9319727891156463,0.9461756373937678
smallbank,0.3,4,LST,0.9931972789115646,0.9886685552407932
smallbank,0.3,4,EQDF,0.9319727891156463,0.9461756373937678
smallbank,0.3,4,PSR (primary),0.0,1.0
smallbank,0.3,4,PSR (slack-aware),0.0,1.0
smallbank,0.3,5,EDF (baseline),0.9573170731707317,0.9345238095238095
smallbank,0.3,5,LST,0.9878048780487805,0.9851190476190477
smallbank,0.3,5,EQDF,0.9573170731707317,0.9345238095238095
smallbank,0.3,5,PSR (primary),0.0,1.0
smallbank,0.3,5,PSR (slack-aware),0.0,1.0
smallbank,0.3,6,EDF (baseline),0.9337748344370861,0.9312320916905444
smallbank,0.3,6,LST,0.9867549668874173,0.9856733524355301
smallbank,0.3,6,EQDF,0.9933774834437086,1.0
smallbank,0.3,6,PSR (primary),0.0,1.0
smallbank,0.3,6,PSR (slack-aware),0.0,1.0
smallbank,0.3,7,EDF (baseline),0.9290780141843972,0.9303621169916435
smallbank,0.3,7,LST,0.9929078014184397,0.9944289693593314
smallbank,0.3,7,EQDF,1.0,0.9972144846796658
smallbank,0.3,7,PSR (primary),0.0,1.0
smallbank,0.3,7,PSR (slack-aware),0.0,1.0
smallbank,0.3,8,EDF (baseline),0.9319727891156463,0.9405099150141643
smallbank,0.3,8,LST,0.9863945578231292,0.9886685552407932
smallbank,0.3,8,EQDF,0.9319727891156463,0.9405099150141643
smallbank,0.3,8,PSR (primary),0.0,1.0
smallbank,0.3,8,PSR (slack-aware),0.0,1.0
smallbank,0.3,9,EDF (baseline),0.9539473684210527,0.9252873563218391
smallbank,0.3,9,LST,0.9868421052631579,0.9885057471264368
smallbank,0.3,9,EQDF,0.9605263157894737,0.9252873563218391
smallbank,0.3,9,PSR (primary),0.0,1.0
smallbank,0.3,9,PSR (slack-aware),0.0,1.0
smallbank,0.5,0,EDF (baseline),0.9279661016949152,0.928030303030303
smallbank,0.5,0,LST,0.9915254237288136,0.9848484848484849
smallbank,0.5,0,EQDF,0.9957627118644068,1.0
smallbank,0.5,0,PSR (primary),0.6949152542372882,1.0
smallbank,0.5,0,PSR (slack-aware),0.6864406779661016,1.0
smallbank,0.5,1,EDF (baseline),0.935361216730038,0.9324894514767933
smallbank,0.5,1,LST,0.9961977186311787,0.9915611814345991
smallbank,0.5,1,EQDF,1.0,0.9957805907172996
smallbank,0.5,1,PSR (primary),0.8174904942965779,1.0
smallbank,0.5,1,PSR (slack-aware),0.8288973384030418,1.0
smallbank,0.5,2,EDF (baseline),0.9125475285171103,0.9704641350210971
smallbank,0.5,2,LST,0.9961977186311787,0.9873417721518988
smallbank,0.5,2,EQDF,0.9163498098859315,0.9704641350210971
smallbank,0.5,2,PSR (primary),0.870722433460076,1.0
smallbank,0.5,2,PSR (slack-aware),0.870722433460076,1.0
smallbank,0.5,3,EDF (baseline),0.9203187250996016,0.9558232931726908
smallbank,0.5,3,LST,0.9920318725099602,0.9839357429718876
smallbank,0.5,3,EQDF,0.9163346613545816,0.9518072289156626
smallbank,0.5,3,PSR (primary),0.796812749003984,1.0
smallbank,0.5,3,PSR (slack-aware),0.7649402390438247,1.0
smallbank,0.5,4,EDF (baseline),0.9473684210526315,0.9367588932806324
smallbank,0.5,4,LST,0.9919028340080972,0.9881422924901185
smallbank,0.5,4,EQDF,0.9473684210526315,0.9367588932806324
smallbank,0.5,4,PSR (primary),0.7611336032388664,1.0
smallbank,0.5,4,PSR (slack-aware),0.7611336032388664,1.0
smallbank,0.5,5,EDF (baseline),0.9479553903345725,0.935064935064935
smallbank,0.5,5,LST,0.9851301115241635,0.987012987012987
smallbank,0.5,5,EQDF,0.9479553903345725,0.935064935064935
smallbank,0.5,5,PSR (primary),0.8178438661710037,1.0
smallbank,0.5,5,PSR (slack-aware),0.8438661710037175,1.0
smallbank,0.5,6,EDF (baseline),0.9190283400809717,0.9446640316205533
smallbank,0.5,6,LST,0.9919028340080972,0.9802371541501976
smallbank,0.5,6,EQDF,0.9959514170040485,1.0
smallbank,0.5,6,PSR (primary),0.7975708502024291,1.0
smallbank,0.5,6,PSR (slack-aware),0.7975708502024291,1.0
smallbank,0.5,7,EDF (baseline),0.9291338582677166,0.9308943089430894
smallbank,0.5,7,LST,0.9921259842519685,0.9959349593495935
smallbank,0.5,7,EQDF,1.0,0.9959349593495935
smallbank,0.5,7,PSR (primary),0.7755905511811023,1.0
smallbank,0.5,7,PSR (slack-aware),0.7834645669291339,1.0
smallbank,0.5,8,EDF (baseline),0.9300411522633745,0.9455252918287937
smallbank,0.5,8,LST,0.9835390946502057,0.9922178988326849
smallbank,0.5,8,EQDF,0.9300411522633745,0.9455252918287937
smallbank,0.5,8,PSR (primary),0.6995884773662552,1.0
smallbank,0.5,8,PSR (slack-aware),0.720164609053498,1.0
smallbank,0.5,9,EDF (baseline),0.9442231075697212,0.9236947791164659
smallbank,0.5,9,LST,0.9800796812749004,0.9959839357429718
smallbank,0.5,9,EQDF,0.9482071713147411,0.9236947791164659
smallbank,0.5,9,PSR (primary),0.6972111553784861,1.0
smallbank,0.5,9,PSR (slack-aware),0.701195219123506,1.0
marbles02,0.1,0,EDF (baseline),0.7407407407407407,0.9084249084249084
marbles02,0.1,0,LST,1.0,0.9816849816849816
marbles02,0.1,0,EQDF,0.7407407407407407,0.9084249084249084
marbles02,0.1,0,PSR (primary),0.0,1.0
marbles02,0.1,0,PSR (slack-aware),0.0,1.0
marbles02,0.1,1,EDF (baseline),0.8378378378378378,0.8973384030418251
marbles02,0.1,1,LST,1.0,0.9885931558935361
marbles02,0.1,1,EQDF,0.8378378378378378,0.8935361216730038
marbles02,0.1,1,PSR (primary),0.0,1.0
marbles02,0.1,1,PSR (slack-aware),0.0,1.0
marbles02,0.1,2,EDF (baseline),0.782608695652174,0.8880866425992779
marbles02,0.1,2,LST,0.9565217391304348,0.9711191335740073
marbles02,0.1,2,EQDF,0.782608695652174,0.8916967509025271
marbles02,0.1,2,PSR (primary),0.0,1.0
marbles02,0.1,2,PSR (slack-aware),0.0,1.0
marbles02,0.1,3,EDF (baseline),0.8709677419354839,0.8847583643122676
marbles02,0.1,3,LST,1.0,0.9405204460966543
marbles02,0.1,3,EQDF,0.8709677419354839,0.8810408921933085
marbles02,0.1,3,PSR (primary),0.0,1.0
marbles02,0.1,3,PSR (slack-aware),0.0,1.0
marbles02,0.1,4,EDF (baseline),0.96,0.8763636363636363
marbles02,0.1,4,LST,1.0,0.9563636363636364
marbles02,0.1,4,EQDF,0.96,0.88
marbles02,0.1,4,PSR (primary),0.0,1.0
marbles02,0.1,4,PSR (slack-aware),0.0,1.0
