intensity,seed,auc,fp_rate,tp_rate
0.3,13,0.5947277777777777,0.2833333333333333,0.4216666666666667
0.3,14,0.5897361111111111,0.30833333333333335,0.44166666666666665
0.3,15,0.5954138888888889,0.30333333333333334,0.395
0.3,16,0.5906111111111111,0.32666666666666666,0.44666666666666666
0.3,17,0.5645111111111111,0.3416666666666667,0.41333333333333333
0.3,18,0.5980416666666667,0.30333333333333334,0.41333333333333333
0.3,19,0.5774527777777778,0.3016666666666667,0.41333333333333333
0.3,20,0.5620027777777777,0.31666666666666665,0.3983333333333333
0.3,21,0.5844277777777778,0.305,0.4116666666666667
0.3,22,0.5592638888888889,0.32666666666666666,0.42
0.3,23,0.5917138888888889,0.2966666666666667,0.43
0.3,24,0.6141916666666667,0.2733333333333333,0.445
0.3,25,0.5908833333333333,0.29833333333333334,0.42333333333333334
0.3,26,0.5812527777777778,0.3016666666666667,0.435
0.3,27,0.5827916666666666,0.3283333333333333,0.4583333333333333
0.3,28,0.5888500000000001,0.295,0.395
0.3,29,0.5681027777777778,0.30666666666666664,0.405
0.5,0,0.6040388888888889,0.28833333333333333,0.4583333333333333
0.5,1,0.6272138888888888,0.315,0.48333333333333334
0.5,2,0.6215083333333333,0.32,0.47333333333333333
0.5,3,0.6332305555555555,0.31333333333333335,0.5133333333333333
0.5,4,0.6261611111111112,0.305,0.48833333333333334
0.5,5,0.64035,0.2966666666666667,0.51
0.5,6,0.6279638888888889,0.315,0.485
0.5,7,0.6567000000000001,0.295,0.545
0.5,8,0.6562,0.285,0.49
0.5,9,0.6514777777777778,0.31666666666666665,0.53
0.5,10,0.6726055555555556,0.2633333333333333,0.52
0.5,11,0.6355722222222222,0.3016666666666667,0.48
0.5,12,0.6159444444444444,0.31833333333333336,0.5166666666666667
0.5,13,0.6492444444444445,0.2833333333333333,0.49333333333333335
0.5,14,0.6427805555555556,0.30833333333333335,0.5166666666666667
0.5,15,0.6493888888888889,0.30333333333333334,0.4716666666666667
0.5,16,0.6419972222222222,0.32666666666666666,0.5133333333333333
0.5,17,0.61795,0.3416666666666667,0.4866666666666667
0.5,18,0.6521611111111111,0.30333333333333334,0.5016666666666667
0.5,19,0.6328305555555556,0.3016666666666667,0.475
0.5,20,0.6162305555555556,0.31666666666666665,0.49166666666666664
0.5,21,0.6400888888888889,0.305,0.5033333333333333
0.5,22,0.6139944444444444,0.32666666666666666,0.4866666666666667
0.5,23,0.6472444444444444,0.2966666666666667,0.5016666666666667
0.5,24,0.6686388888888889,0.2733333333333333,0.53
0.5,25,0.6470277777777778,0.29833333333333334,0.5033333333333333
0.5,26,0.6340194444444445,0.3016666666666667,0.5083333333333333
0.5,27,0.6362388888888888,0.3283333333333333,0.5316666666666666
0.5,28,0.6459527777777778,0.295,0.485
0.5,29,0.6230222222222223,0.30666666666666664,0.485
0.75,0,0.6697972222222222,0.28833333333333333,0.5433333333333333
0.75,1,0.6896444444444445,0.315,0.5716666666666667
0.75,2,0.6869611111111111,0.32,0.5933333333333334
0.75,3,0.6970138888888888,0.31333333333333335,0.61
0.75,4,0.6904416666666666,0.305,0.5616666666666666
0.75,5,0.7011972222222222,0.2966666666666667,0.6
0.75,6,0.6908583333333334,0.315,0.5683333333333334
0.75,7,0.7204722222222222,0.295,0.6216666666666667
0.75,8,0.71795,0.285,0.57
