load_tps,seed,p50_raft,p99_raft,p50_ai,p99_ai,p50_bft,p99_bft,view_changes
2000,14,8.359224860878843,17.41907853244714,8.417693572997223,17.508775108315856,32.84213824549003,137.85465629220027,9
2000,15,8.731673343873988,17.899639589658687,8.221504196083256,16.88358093447778,33.139789403543816,137.7909998642318,9
2000,16,8.491638347546203,21.107479952027415,8.240951868906297,16.80268662542451,33.52171364684495,137.61507893683265,9
2000,17,8.40123557763498,18.918206721112796,8.357059592715885,16.462890751635424,32.7884949428615,140.04886852450585,9
2000,18,8.434772230466884,18.766813009133575,8.328404801989478,18.25511093510305,33.80554237346328,139.6242897185602,9
2000,19,8.596416245028243,19.270017673931157,8.321613589795671,16.658268399230415,32.86351660304585,138.7738747097299,9
2000,20,8.415896652144436,17.849086506245932,8.251603634003146,17.09396798874592,33.06759467606214,138.30253552843948,9
2000,21,8.529009619420155,17.325146135542024,8.333589780803589,18.538851023779582,33.514006126342636,139.44547847141354,9
2000,22,8.398842565508195,17.60203554215891,8.264965481650222,18.605275828843116,33.10245354435402,137.5372863550789,9
2000,23,8.597067850420508,18.50462861448883,8.367112962911293,18.432055681244968,33.07767807814223,139.5600534647103,9
2000,24,8.670173880453472,18.768283039168757,8.420852342476334,16.450079558564592,33.09748830702826,141.7208273155894,9
2000,25,8.712159768197953,19.275422290556346,8.446371855312435,15.94606203565551,32.72599590236818,138.06426192441631,9
2000,26,8.481506238954431,19.308177730024546,8.354831104403694,18.425454066979476,33.06136958439491,140.33081855981433,9
2000,27,8.813750109157937,21.13095059973946,8.37970541852841,17.065742356469936,33.21826423858368,140.9398238833114,9
2000,28,8.617348547306907,19.006343231921743,8.328807462784386,16.368756728573597,33.441585779688424,140.75767629913085,9
2000,29,8.418396343026398,17.449104024953815,8.197618550596978,17.404544644788476,33.2934948096685,141.53353576392146,9
