1781249032.469,0.213,0.473,0.283,0.305,0.284
1781249032.771,0.220,0.303,0.295,0.260,0.244
1781249033.072,0.212,0.353,0.284,0.370,0.266
1781249033.374,0.217,0.304,0.367,0.260,0.258
1781249033.676,0.225,0.317,0.368,0.318,0.268
1781249033.977,0.468,0.342,0.282,0.246,0.221
1781249034.279,0.217,0.263,0.311,0.250,0.278
1781249034.581,0.216,0.274,0.363,0.302,0.265
1781249034.882,0.231,0.305,0.438,0.287,0.572
1781249035.184,0.221,0.281,0.267,0.253,0.413
1781249035.486,0.213,0.373,0.320,0.267,0.273
1781249035.788,0.254,0.332,0.447,0.330,0.300
1781249036.089,0.265,0.309,0.385,0.270,0.278
1781249036.391,0.225,0.348,0.283,0.234,0.241
1781249036.693,0.212,0.360,0.338,0.247,0.242
1781249036.994,0.215,0.292,0.299,0.296,0.317
1781249037.296,0.218,0.337,0.276,0.242,0.496
1781249037.598,0.211,0.312,0.281,0.265,0.203
1781249037.899,0.221,0.321,0.320,0.256,0.248
1781249038.201,0.228,0.417,0.285,0.247,0.341
1781249038.503,0.242,0.319,0.301,0.279,0.272
1781249038.804,0.226,0.397,0.256,0.472,0.355
1781249039.106,0.218,0.318,0.387,0.239,0.244
1781249039.408,0.218,0.308,0.305,0.242,0.238
1781249039.709,0.363,0.297,0.286,0.262,0.265
1781249040.016,0.263,9.526,0.498,5.394,7.044
1781249040.339,0.216,0.310,0.316,0.372,0.329
1781249040.641,0.228,0.343,0.271,0.441,0.296
1781249040.942,0.252,0.313,0.297,0.274,0.324
1781249041.244,0.227,0.382,0.535,0.438,0.430
1781249041.546,2.392,5.640,10.796,1.325,0.653
1781249041.867,0.258,0.322,0.332,0.251,0.757
1781249042.170,0.258,0.353,0.284,0.799,1.600
1781249042.473,0.215,0.382,0.307,1.563,1.908
1781249042.778,0.475,0.413,0.415,0.492,0.357
1781249043.081,0.216,0.321,0.357,0.356,1.936
1781249043.384,0.272,0.345,0.303,0.568,0.767
1781249043.687,0.215,0.302,0.276,0.261,0.287
1781249043.988,0.224,0.279,0.259,0.279,0.445
1781249044.290,0.258,0.309,0.288,0.247,0.593
1781249044.592,0.220,0.277,0.281,0.280,0.307
1781249044.893,0.297,0.295,0.384,0.233,0.287
