seed,arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
1,s1_vanilla,100,1789361727.266306695,1789361745.205270359,4,1,0
1,s1_guarded,1,1789361924.166646162,1789361942.339895989,1,5,0
1,s1_guarded,2,1789361957.873489961,1789361975.945140391,5,2,0
1,s1_guarded,3,1789361991.995986181,1789362010.168023596,2,5,0
1,s1_guarded,4,1789362025.920539885,1789362044.478142837,5,4,0
1,s1_guarded,5,1789362060.479713055,1789362078.609650615,4,5,0
1,s1_guarded,6,1789362093.986164016,1789362112.129453073,5,4,0
1,s1_guarded,7,1789362128.080763646,1789362146.271298398,4,5,0
1,s1_guarded,8,1789362162.386013450,1789362180.474465374,5,4,0
1,s1_guarded,9,1789362196.567113196,1789362214.651974258,4,2,0
1,s1_guarded,10,1789362230.549882061,1789362248.780950859,2,1,0
1,s1_guarded,11,1789362264.915671423,1789362283.260083320,1,5,0
1,s1_guarded,12,1789362298.517847898,1789362316.717314554,5,4,0
1,s1_guarded,13,1789362332.686255423,1789362351.228794822,4,1,0
1,s1_guarded,14,1789362367.548824009,1789362385.831682421,1,4,0
1,s1_guarded,15,1789362402.142803455,1789362420.330575281,4,2,0
1,s1_guarded,16,1789362436.321569210,1789362454.560128097,2,5,0
1,s1_guarded,17,1789362470.697488078,1789362489.441033345,5,1,0
1,s1_guarded,18,1789362506.115320838,1789362524.483628957,1,4,0
1,s1_guarded,19,1789362540.863994544,1789362559.138529585,4,1,0
1,s1_guarded,20,1789362575.680650950,1789362594.197454809,1,5,0
1,s1_guarded,21,1789362609.709969215,1789362628.081179442,5,4,0
1,s1_guarded,22,1789362644.389546522,1789362663.192979137,4,1,0
1,s1_guarded,23,1789362679.944664844,1789362698.429365818,1,2,0
1,s1_guarded,24,1789362715.069430045,1789362733.780883050,2,1,0
1,s1_guarded,25,1789362750.606992323,1789362769.303598437,1,4,0
1,s1_guarded,26,1789362785.857077829,1789362804.380838801,4,1,0
1,s1_guarded,27,1789362821.138671919,1789362839.775993358,1,4,0
1,s1_guarded,28,1789362856.517015103,1789362875.058571101,4,2,0
