loss,jitter,seed,failover_van,failover_ai,storm_rate_van,storm_rate_ai
0.01,1.0,18,258.72020044744653,135.55827827975128,0.02,0.0
0.01,1.0,19,260.3053017714004,148.80688170316148,0.0,0.0
0.01,1.0,20,258.5484921404636,142.51036399414295,0.01,0.0
0.01,1.0,21,253.81762419735557,142.14182117160453,0.02,0.0
0.01,1.0,22,258.2203868352018,144.27903984448784,0.0,0.0
0.01,1.0,23,256.03103397162494,154.08129616102752,0.0,0.0
0.01,1.0,24,261.4576876526852,144.36056634841327,0.0,0.0
0.01,1.0,25,262.335925971887,152.17699622587355,0.02,0.0
0.01,1.0,26,258.31684624320917,151.78011207329632,0.01,0.0
0.01,1.0,27,260.53400433977856,146.52695225652838,0.0,0.0
0.01,1.0,28,271.20992210058716,149.62748206499495,0.0,0.0
0.01,1.0,29,261.02505243457887,149.4678896970938,0.02,0.0
0.01,5.0,0,265.30043283499424,149.08721884848075,0.02,0.0
0.01,5.0,1,261.68460892228387,145.53423473631162,0.0,0.0
0.01,5.0,2,250.8316486779724,150.90257195809406,0.02,0.0
0.01,5.0,3,271.36773732652426,147.03989336567395,0.01,0.0
0.01,5.0,4,267.33880441472843,147.26927447364466,0.02,0.0
0.01,5.0,5,259.0856592894246,150.0291959691705,0.0,0.01
0.01,5.0,6,273.80363062075224,149.41811829333312,0.01,0.0
0.01,5.0,7,257.25986020108206,143.74046841069048,0.01,0.0
0.01,5.0,8,259.65022221078095,146.8742586867439,0.0,0.0
0.01,5.0,9,266.07971449571863,148.06409425711877,0.0,0.0
0.01,5.0,10,255.39772959822022,145.961608578983,0.0,0.01
0.01,5.0,11,257.1235411204314,140.74448251428817,0.0,0.0
0.01,5.0,12,265.26702374913793,140.8484121354523,0.02,0.0
0.01,5.0,13,256.18841206384747,145.49451458008934,0.01,0.0
0.01,5.0,14,265.06271720253284,145.0109667130522,0.0,0.0
0.01,5.0,15,263.5207467690425,146.50859777526603,0.01,0.01
0.01,5.0,16,255.15263285301322,145.97628349847332,0.0,0.01
0.01,5.0,17,249.5991344446976,142.16382923289385,0.0,0.01
0.01,5.0,18,254.43767901119003,137.6191862369711,0.02,0.0
0.01,5.0,19,261.34490285959964,147.81821797798838,0.0,0.0
0.01,5.0,20,261.63134714805994,143.02479843873647,0.01,0.0
0.01,5.0,21,253.25887003847942,142.79479755441795,0.02,0.0
0.01,5.0,22,256.33036279147325,144.58058468474326,0.0,0.0
0.01,5.0,23,258.0591353122204,154.67697155288425,0.0,0.0
0.01,5.0,24,260.8386208818157,144.6539911203387,0.0,0.0
0.01,5.0,25,261.5834047185,151.69993946438518,0.02,0.0
0.01,5.0,26,261.30237610849304,152.8258561677559,0.01,0.0
0.01,5.0,27,261.26067170335904,145.8287558485132,0.0,0.0
0.01,5.0,28,270.74680365184156,148.987891881155,0.0,0.0
0.01,5.0,29,261.1631758560831,148.27710102380607,0.02,0.0
0.01,10.0,0,265.67286302574064,148.73365814068114,0.02,0.0
0.01,10.0,1,261.1738775731494,146.22550681879602,0.0,0.0
0.01,10.0,2,250.6936378688725,151.0490236948652,0.02,0.0
0.01,10.0,3,272.10931900576145,148.1415738028284,0.01,0.0
0.01,10.0,4,267.09680145731824,146.208574102907,0.02,0.0
0.01,10.0,5,261.2798170765104,150.35143077473447,0.0,0.01
0.01,10.0,6,272.93372496639495,150.19122987015749,0.01,0.0
0.01,10.0,7,258.1495620086504,144.42092913195685,0.01,0.0
0.01,10.0,8,258.663033462056,147.62912859960795,0.0,0.0
0.01,10.0,9,265.72252990800104,147.63242503514397,0.0,0.0
0.01,10.0,10,256.9134935480158,146.85279798170234,0.0,0.01
0.01,10.0,11,258.9264525814144,140.404518705486,0.0,0.0
0.01,10.0,12,265.51920960715114,140.75446159699123,0.02,0.0
0.01,10.0,13,255.8909736640138,146.39808279725543,0.01,0.0
0.01,10.0,14,267.34511922760555,145.17809777044616,0.0,0.0
0.01,10.0,15,261.8333621661813,146.69674104186714,0.01,0.01
0.01,10.0,16,255.0381274776693,144.78469309144117,0.0,0.01
0.01,10.0,17,249.41040082596083,142.5621040046687,0.0,0.01
0.01,10.0,18,252.2906375622805,139.54124708971142,0.02,0.0
0.01,10.0,19,261.83137283892535,148.20288077758033,0.0,0.0
0.01,10.0,20,265.12858370023446,143.306873112564,0.01,0.0
0.01,10.0,21,253.46203422448946,143.57607261319134,0.02,0.0
0.01,10.0,22,255.66198316466247,145.5038201036905,0.0,0.0
0.01,10.0,23,258.89066277714335,154.89127818143058,0.0,0.0
0.01,10.0,24,263.31065040184365,144.25886702344815,0.0,0.0
0.01,10.0,25,260.11980277394554,152.00870338430346,0.02,0.0
0.01,10.0,26,262.7572844183379,153.20868626412636,0.01,0.0
0.01,10.0,27,264.4728433353082,146.40584430270874,0.0,0.0
0.01,10.0,28,270.73623293426306,148.40947496710498,0.0,0.0
0.01,10.0,29,261.93962609088123,147.99893915853113,0.02,0.0
