delta,seed,empirical,theory
0.75,14,0.5445249999999999,0.7020584547174111
0.75,15,0.6562333333333332,0.7020584547174111
0.75,16,0.6401472222222222,0.7020584547174111
0.75,17,0.5979444444444444,0.7020584547174111
0.75,18,0.5858055555555556,0.7020584547174111
0.75,19,0.542975,0.7020584547174111
0.75,20,0.587125,0.7020584547174111
0.75,21,0.5404916666666667,0.7020584547174111
0.75,22,0.5139583333333334,0.7020584547174111
0.75,23,0.5151249999999999,0.7020584547174111
0.75,24,0.5348166666666667,0.7020584547174111
0.75,25,0.5769361111111111,0.7020584547174111
0.75,26,0.6449250000000001,0.7020584547174111
0.75,27,0.5062111111111111,0.7020584547174111
0.75,28,0.588725,0.7020584547174111
0.75,29,0.5135416666666667,0.7020584547174111
1.0,0,0.6821694444444444,0.7602499389065233
1.0,1,0.7521777777777777,0.7602499389065233
1.0,2,0.762475,0.7602499389065233
1.0,3,0.5733777777777778,0.7602499389065233
1.0,4,0.5901,0.7602499389065233
1.0,5,0.7342694444444444,0.7602499389065233
1.0,6,0.7233749999999999,0.7602499389065233
1.0,7,0.6960944444444446,0.7602499389065233
1.0,8,0.6868083333333332,0.7602499389065233
1.0,9,0.6283555555555556,0.7602499389065233
1.0,10,0.7012972222222221,0.7602499389065233
1.0,11,0.5058166666666667,0.7602499389065233
1.0,12,0.6613416666666666,0.7602499389065233
1.0,13,0.534038888888889,0.7602499389065233
1.0,14,0.5199833333333334,0.7602499389065233
1.0,15,0.6769638888888888,0.7602499389065233
1.0,16,0.662013888888889,0.7602499389065233
1.0,17,0.6212166666666668,0.7602499389065233
1.0,18,0.6097638888888889,0.7602499389065233
1.0,19,0.5181583333333333,0.7602499389065233
1.0,20,0.6109777777777777,0.7602499389065233
1.0,21,0.5640722222222223,0.7602499389065233
1.0,22,0.5369416666666667,0.7602499389065233
1.0,23,0.5395972222222222,0.7602499389065233
1.0,24,0.5608000000000001,0.7602499389065233
1.0,25,0.5993333333333333,0.7602499389065233
1.0,26,0.6673305555555556,0.7602499389065233
1.0,27,0.530086111111111,0.7602499389065233
1.0,28,0.6117555555555556,0.7602499389065233
1.0,29,0.5355416666666666,0.7602499389065233
