intensity,seed,auc,fp_rate,tp_rate
0.5,10,0.9973444444444444,0.33166666666666667,1.0
0.5,11,0.9966,0.30666666666666664,1.0
0.5,12,0.9975444444444445,0.30666666666666664,1.0
0.5,13,0.9984805555555556,0.30333333333333334,1.0
0.5,14,0.9984638888888889,0.2816666666666667,1.0
0.5,15,0.9984722222222222,0.2783333333333333,1.0
0.5,16,0.9973694444444444,0.2833333333333333,1.0
0.5,17,0.9987916666666666,0.265,1.0
0.5,18,0.9982194444444444,0.2833333333333333,1.0
0.5,19,0.9988222222222223,0.29333333333333333,1.0
0.5,20,0.9976666666666667,0.2833333333333333,1.0
0.5,21,0.9978277777777778,0.315,1.0
0.5,22,0.9972722222222222,0.31,1.0
0.5,23,0.9939611111111111,0.345,1.0
0.5,24,0.9980611111111111,0.28,1.0
0.5,25,0.9982722222222222,0.2633333333333333,1.0
0.5,26,0.9987444444444444,0.31333333333333335,1.0
0.5,27,0.9969083333333333,0.31,1.0
0.5,28,0.9989111111111111,0.32166666666666666,1.0
0.5,29,0.9994972222222223,0.3016666666666667,1.0
0.75,0,0.9986444444444444,0.31833333333333336,1.0
0.75,1,0.9986222222222222,0.2916666666666667,1.0
0.75,2,0.9987972222222222,0.29,1.0
0.75,3,0.9975666666666667,0.30333333333333334,1.0
0.75,4,0.9988277777777778,0.31666666666666665,1.0
0.75,5,0.9969888888888889,0.29,1.0
0.75,6,0.9984833333333333,0.28833333333333333,1.0
0.75,7,0.9979972222222222,0.3383333333333333,1.0
0.75,8,0.9985277777777778,0.31166666666666665,1.0
0.75,9,0.9977361111111112,0.305,1.0
0.75,10,0.9973527777777778,0.33166666666666667,1.0
0.75,11,0.9965944444444444,0.30666666666666664,1.0
0.75,12,0.9975472222222221,0.30666666666666664,1.0
0.75,13,0.9984805555555556,0.30333333333333334,1.0
0.75,14,0.9984694444444444,0.2816666666666667,1.0
0.75,15,0.9984777777777778,0.2783333333333333,1.0
0.75,16,0.9973638888888888,0.2833333333333333,1.0
0.75,17,0.9987916666666666,0.265,1.0
0.75,18,0.9982166666666666,0.2833333333333333,1.0
0.75,19,0.9988305555555556,0.29333333333333333,1.0
0.75,20,0.9976722222222222,0.2833333333333333,1.0
0.75,21,0.997825,0.315,1.0
0.75,22,0.9972694444444444,0.31,1.0
0.75,23,0.9939583333333333,0.345,1.0
0.75,24,0.9980638888888889,0.28,1.0
0.75,25,0.9982722222222222,0.2633333333333333,1.0
0.75,26,0.9987444444444444,0.31333333333333335,1.0
0.75,27,0.9969055555555555,0.31,1.0
0.75,28,0.9989111111111111,0.32166666666666666,1.0
0.75,29,0.9994972222222223,0.3016666666666667,1.0
1.0,0,0.9986416666666666,0.31833333333333336,1.0
1.0,1,0.9986138888888889,0.2916666666666667,1.0
1.0,2,0.9987972222222222,0.29,1.0
1.0,3,0.9975583333333333,0.30333333333333334,1.0
1.0,4,0.9988222222222222,0.31666666666666665,1.0
1.0,5,0.9969861111111111,0.29,1.0
1.0,6,0.9984833333333333,0.28833333333333333,1.0
1.0,7,0.9980027777777778,0.3383333333333333,1.0
1.0,8,0.9985277777777778,0.31166666666666665,1.0
1.0,9,0.9977472222222222,0.305,1.0
1.0,10,0.9973583333333333,0.33166666666666667,1.0
1.0,11,0.9966055555555555,0.30666666666666664,1.0
1.0,12,0.9975388888888889,0.30666666666666664,1.0
1.0,13,0.998475,0.30333333333333334,1.0
1.0,14,0.998475,0.2816666666666667,1.0
1.0,15,0.9984805555555556,0.2783333333333333,1.0
1.0,16,0.9973694444444444,0.2833333333333333,1.0
1.0,17,0.9987888888888888,0.265,1.0
1.0,18,0.9982111111111112,0.2833333333333333,1.0
1.0,19,0.9988305555555556,0.29333333333333333,1.0
1.0,20,0.9976638888888889,0.2833333333333333,1.0
1.0,21,0.997825,0.315,1.0
1.0,22,0.9972666666666666,0.31,1.0
1.0,23,0.9939583333333333,0.345,1.0
1.0,24,0.9980666666666667,0.28,1.0
1.0,25,0.9982666666666666,0.2633333333333333,1.0
1.0,26,0.9987361111111112,0.31333333333333335,1.0
1.0,27,0.9969111111111111,0.31,1.0
1.0,28,0.9989027777777778,0.32166666666666666,1.0
1.0,29,0.9994972222222223,0.3016666666666667,1.0
