arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
C_predictor,11,5,2,3;9,3,8,1786284881.812295803,1786284895.415282934,W1,2,2,9;3,0,4,2,2,3;9,0,4,8,0,1,0,1
C_predictor,11,5,2,3;9,3,9,1786284895.426282308,1786284909.077648471,W1,2,2,3;9,0,4,2,2,3;9,0,4,1,0,4,0,1
C_predictor,11,5,2,3;9,3,10,1786284909.089762149,1786284922.742036094,W1,2,2,3;9,0,4,2,2,3;9,0,4,4,0,5,0,1
A_vanilla,11,5,2,3;9,4,1,1786284933.318186437,1786284946.913480223,W1,2,2,9;3,0,4,2,2,9;3,0,4,5,0,11,0,1
A_vanilla,11,5,2,3;9,4,2,1786284946.928542847,1786284960.498161129,W1,2,2,9;3,0,4,2,2,9;3,0,4,11,0,3,1,1
A_vanilla,11,5,2,3;9,4,3,1786284960.511149503,1786284974.141823167,W1,2,2,9;3,0,4,2,2,9;3,0,4,3,1,5,0,1
A_vanilla,11,5,2,3;9,4,4,1786284974.150047093,1786284987.734091503,W1,2,2,9;3,0,4,2,2,3;9,0,4,5,0,9,1,1
A_vanilla,11,5,2,3;9,4,5,1786284987.750899579,1786285001.353708637,W1,2,2,3;9,0,4,2,2,3;9,0,4,9,1,4,0,1
A_vanilla,11,5,2,3;9,4,6,1786285001.364442589,1786285014.968513690,W1,2,2,3;9,0,4,2,2,3;9,0,4,4,0,2,0,1
A_vanilla,11,5,2,3;9,4,7,1786285014.982896283,1786285028.538979513,W1,2,2,3;9,0,4,2,2,3;9,0,4,2,0,1,0,1
A_vanilla,11,5,2,3;9,4,8,1786285028.550110723,1786285042.184580577,W1,2,2,3;9,0,4,2,2,3;9,0,4,1,0,6,0,1
A_vanilla,11,5,2,3;9,4,9,1786285042.208328469,1786285055.781825751,W1,2,2,3;9,0,4,2,2,3;9,0,4,6,0,10,0,1
A_vanilla,11,5,2,3;9,4,10,1786285055.795760614,1786285069.389233122,W1,2,2,3;9,0,4,2,2,3;9,0,4,10,0,2,0,1
B_oracle,11,5,2,3;9,4,1,1786285078.642650840,1786285092.248325542,W1,2,2,9;3,0,4,2,2,3;9,0,4,2,0,1,0,1
B_oracle,11,5,2,3;9,4,2,1786285092.263928504,1786285105.885438520,W1,2,2,9;3,0,4,2,2,3;9,0,4,1,0,8,0,1
B_oracle,11,5,2,3;9,4,3,1786285105.901713352,1786285119.539439607,W1,2,2,9;3,0,4,2,2,9;3,0,4,8,0,5,0,1
B_oracle,11,5,2,3;9,4,4,1786285119.553302374,1786285133.157061969,W1,2,2,9;3,0,4,2,2,3;9,0,4,5,0,10,0,1
B_oracle,11,5,2,3;9,4,5,1786285133.177629997,1786285146.736015058,W1,2,2,9;3,0,4,2,2,3;9,0,4,10,0,6,0,1
B_oracle,11,5,2,3;9,4,6,1786285146.758278917,1786285160.345225230,W1,2,2,9;3,0,4,2,2,3;9,0,4,6,0,5,0,1
B_oracle,11,5,2,3;9,4,7,1786285160.360717942,1786285173.913075897,W1,2,2,3;9,0,4,2,2,3;9,0,4,5,0,4,0,1
B_oracle,11,5,2,3;9,4,8,1786285173.922431152,1786285187.508849481,W1,2,2,9;3,0,4,2,2,3;9,0,4,4,0,0,0,0
