# start rate=10 seed=6 dur=420 n=7 target=3 events=41
128.2 fp=[1] true=[3] merged=[1, 3]
128.5 fp=[1] true=[3] merged=[1, 3]
128.8 fp=[1] true=[3] merged=[1, 3]
129.1 fp=[1] true=[3] merged=[1, 3]
129.4 fp=[1] true=[3] merged=[1, 3]
129.7 fp=[1] true=[3] merged=[1, 3]
130.0 fp=[1] true=[3] merged=[1, 3]
130.3 fp=[1] true=[3] merged=[1, 3]
130.6 fp=[1] true=[3] merged=[1, 3]
131.0 fp=[1] true=[3] merged=[1, 3]
131.3 fp=[2] true=[3] merged=[2, 3]
131.6 fp=[2] true=[3] merged=[2, 3]
131.9 fp=[2] true=[3] merged=[2, 3]
132.2 fp=[2] true=[3] merged=[2, 3]
132.5 fp=[2] true=[3] merged=[2, 3]
132.8 fp=[2] true=[3] merged=[2, 3]
133.1 fp=[2] true=[3] merged=[2, 3]
133.5 fp=[2] true=[3] merged=[2, 3]
133.8 fp=[2] true=[3] merged=[2, 3]
134.1 fp=[2] true=[3] merged=[2, 3]
134.4 fp=[2] true=[3] merged=[2, 3]
134.7 fp=[2] true=[3] merged=[2, 3]
135.0 fp=[2] true=[3] merged=[2, 3]
135.3 fp=[2] true=[3] merged=[2, 3]
135.7 fp=[2] true=[3] merged=[2, 3]
136.0 fp=[2] true=[3] merged=[2, 3]
136.3 fp=[7] true=[3] merged=[3, 7]
136.6 fp=[7] true=[3] merged=[3, 7]
136.9 fp=[7] true=[3] merged=[3, 7]
137.2 fp=[7] true=[3] merged=[3, 7]
137.5 fp=[7] true=[3] merged=[3, 7]
137.9 fp=[7] true=[3] merged=[3, 7]
138.2 fp=[7] true=[3] merged=[3, 7]
138.5 fp=[7] true=[3] merged=[3, 7]
138.8 fp=[7] true=[3] merged=[3, 7]
139.1 fp=[7] true=[3] merged=[3, 7]
139.4 fp=[7] true=[3] merged=[3, 7]
139.7 fp=[7] true=[3] merged=[3, 7]
140.1 fp=[7] true=[3] merged=[3, 7]
140.4 fp=[7] true=[3] merged=[3, 7]
140.7 fp=[7] true=[3] merged=[3, 7]
141.0 fp=[7] true=[3] merged=[3, 7]
141.3 fp=[7] true=[3] merged=[3, 7]
141.6 fp=[7] true=[3] merged=[3, 7]
141.9 fp=[7] true=[3] merged=[3, 7]
142.2 fp=[7] true=[3] merged=[3, 7]
142.5 fp=[7] true=[3] merged=[3, 7]
142.8 fp=[7] true=[3] merged=[3, 7]
143.1 fp=[7] true=[3] merged=[3, 7]
143.5 fp=[7] true=[3] merged=[3, 7]
143.8 fp=[7] true=[3] merged=[3, 7]
144.1 fp=[7] true=[3] merged=[3, 7]
144.4 fp=[7] true=[3] merged=[3, 7]
144.7 fp=[7] true=[3] merged=[3, 7]
145.1 fp=[7] true=[3] merged=[3, 7]
145.4 fp=[7] true=[3] merged=[3, 7]
145.7 fp=[7] true=[3] merged=[3, 7]
146.0 fp=[7] true=[3] merged=[3, 7]
146.3 fp=[7] true=[3] merged=[3, 7]
146.6 fp=[7] true=[3] merged=[3, 7]
146.9 fp=[7] true=[3] merged=[3, 7]
147.2 fp=[7] true=[3] merged=[3, 7]
147.5 fp=[7] true=[3] merged=[3, 7]
147.9 fp=[7] true=[3] merged=[3, 7]
148.2 fp=[7] true=[3] merged=[3, 7]
148.5 fp=[7] true=[3] merged=[3, 7]
148.8 fp=[7] true=[3] merged=[3, 7]
149.1 fp=[7] true=[3] merged=[3, 7]
149.4 fp=[7] true=[3] merged=[3, 7]
149.7 fp=[7] true=[3] merged=[3, 7]
154.1 fp=[2] true=[3] merged=[2, 3]
154.4 fp=[2] true=[3] merged=[2, 3]
154.7 fp=[2] true=[3] merged=[2, 3]
155.0 fp=[2] true=[3] merged=[2, 3]
155.3 fp=[2] true=[3] merged=[2, 3]
155.6 fp=[2] true=[3] merged=[2, 3]
155.9 fp=[2] true=[3] merged=[2, 3]
156.3 fp=[2] true=[3] merged=[2, 3]
156.6 fp=[2] true=[3] merged=[2, 3]
156.9 fp=[2] true=[3] merged=[2, 3]
157.2 fp=[2] true=[3] merged=[2, 3]
157.5 fp=[2] true=[3] merged=[2, 3]
157.8 fp=[2] true=[3] merged=[2, 3]
158.2 fp=[2] true=[3] merged=[2, 3]
158.5 fp=[2] true=[3] merged=[2, 3]
158.8 fp=[2] true=[3] merged=[2, 3]
159.1 fp=[2] true=[3] merged=[2, 3]
159.4 fp=[2] true=[3] merged=[2, 3]
159.7 fp=[2] true=[3] merged=[2, 3]
160.0 fp=[2] true=[3] merged=[2, 3]
160.3 fp=[2] true=[3] merged=[2, 3]
160.6 fp=[2] true=[3] merged=[2, 3]
160.9 fp=[2] true=[3] merged=[2, 3]
161.2 fp=[2] true=[3] merged=[2, 3]
161.6 fp=[2] true=[3] merged=[2, 3]
161.9 fp=[2] true=[3] merged=[2, 3]
162.2 fp=[2] true=[3] merged=[2, 3]
162.5 fp=[2] true=[3] merged=[2, 3]
162.8 fp=[2] true=[3] merged=[2, 3]
163.1 fp=[2] true=[3] merged=[2, 3]
163.4 fp=[2] true=[3] merged=[2, 3]
163.7 fp=[2] true=[3] merged=[2, 3]
164.0 fp=[2] true=[3] merged=[2, 3]
164.4 fp=[2] true=[3] merged=[2, 3]
164.7 fp=[2] true=[3] merged=[2, 3]
165.0 fp=[2] true=[3] merged=[2, 3]
165.3 fp=[2] true=[3] merged=[2, 3]
165.6 fp=[2] true=[3] merged=[2, 3]
165.9 fp=[2] true=[3] merged=[2, 3]
166.2 fp=[2] true=[3] merged=[2, 3]
166.5 fp=[2] true=[3] merged=[2, 3]
166.9 fp=[2] true=[3] merged=[2, 3]
167.2 fp=[2] true=[3] merged=[2, 3]
167.5 fp=[2] true=[3] merged=[2, 3]
