condition,election,prev_leader,new_leader,target_won,live,advisors_alive,bt
pgd_rho_0.8,38,1,0,0,0,7,"[7,3]"
pgd_rho_0.8,39,1,0,0,0,7,"[3,4]"
pgd_rho_0.8,40,1,0,0,0,7,"[1,7]"
attack_class_ar1,1,1,0,0,0,7,"[7,3]"
attack_class_ar1,2,1,0,0,0,7,"[3,7]"
attack_class_ar1,3,1,0,0,0,7,"[7,3]"
attack_class_ar1,4,1,0,0,0,7,"[7,3]"
attack_class_ar1,5,1,0,0,0,7,""
attack_class_ar1,6,1,0,0,0,7,"[7,5]"
attack_class_ar1,7,1,0,0,0,7,"[3,7]"
attack_class_ar1,8,1,0,0,0,7,"[3,7]"
attack_class_ar1,9,1,0,0,0,7,"[3,7]"
attack_class_ar1,10,1,0,0,0,7,"[3,7]"
attack_class_ar1,11,1,0,0,0,7,"[3,7]"
attack_class_ar1,12,1,0,0,0,7,"[3,7]"
attack_class_ar1,13,1,0,0,0,7,"[3,7]"
attack_class_ar1,14,1,0,0,0,7,"[1,3]"
attack_class_ar1,15,1,0,0,0,7,"[7,3]"
attack_class_ar1,16,1,0,0,0,7,"[3,7]"
attack_class_ar1,17,1,0,0,0,7,"[3,7]"
attack_class_ar1,18,1,0,0,0,7,"[3,7]"
attack_class_ar1,19,1,0,0,0,7,"[7,3]"
attack_class_ar1,20,1,0,0,0,7,""
attack_class_ar1,21,1,0,0,0,7,"[3,7]"
attack_class_ar1,22,1,0,0,0,7,"[3,7]"
attack_class_ar1,23,1,0,0,0,7,"[3,5]"
attack_class_ar1,24,1,0,0,0,7,""
attack_class_ar1,25,1,0,0,0,7,"[3,7]"
attack_class_ar1,26,1,0,0,0,7,"[3,7]"
attack_class_ar1,27,1,0,0,0,7,"[3,7]"
attack_class_ar1,28,1,0,0,0,7,"[3,7]"
attack_class_ar1,29,1,0,0,0,7,"[3,7]"
attack_class_ar1,30,1,0,0,0,7,"[3,7]"
attack_class_ar1,31,1,0,0,0,7,"[6,3]"
attack_class_ar1,32,1,0,0,0,7,"[3,7]"
attack_class_ar1,33,1,0,0,0,7,"[7,3]"
attack_class_ar1,34,1,0,0,0,7,"[3,4]"
attack_class_ar1,35,1,0,0,0,7,"[3,7]"
attack_class_ar1,36,1,0,0,0,7,"[3,1]"
attack_class_ar1,37,1,0,0,0,7,"[3,7]"
attack_class_ar1,38,1,0,0,0,7,"[3,7]"
attack_class_ar1,39,1,0,0,0,7,"[3,7]"
attack_class_ar1,40,1,0,0,0,7,"[3,7]"
