rho,k,seed,emp_gap,th_gap,ratio
0.7,1,28,1.0708633596427726,1.0,1.0708633596427726
0.7,1,29,0.9343138814724004,1.0,0.9343138814724004
0.7,2,0,0.46130306580260494,1.49,0.3095993730218825
0.7,2,1,0.4697518418921074,1.49,0.3152696925450385
0.7,2,2,0.4259969723965349,1.49,0.2859040083198221
0.7,2,3,0.49091994889436363,1.49,0.3294764757680293
0.7,2,4,0.49635262437255157,1.49,0.3331225666929876
0.7,2,5,0.5092985423002432,1.49,0.34181110221492833
0.7,2,6,0.49212204707941587,1.49,0.3302832530734335
0.7,2,7,0.5179190335832455,1.49,0.347596666834393
0.7,2,8,0.489543831490842,1.49,0.32855290704083356
0.7,2,9,0.4887520256534912,1.49,0.3280214937271753
0.7,2,10,0.4789378947083389,1.49,0.3214348286633147
0.7,2,11,0.533915638096478,1.49,0.35833264301777046
0.7,2,12,0.4688492189502742,1.49,0.3146639053357545
0.7,2,13,0.4843978232509498,1.49,0.3250992102355368
0.7,2,14,0.499994169883216,1.49,0.3355665569686013
0.7,2,15,0.4914214538602917,1.49,0.32981305628207497
0.7,2,16,0.4471324726863295,1.49,0.30008890784317416
0.7,2,17,0.5340705255917866,1.49,0.3584365943569037
0.7,2,18,0.49527927614744516,1.49,0.3324021987566746
0.7,2,19,0.46268953527777845,1.49,0.31052988944817345
0.7,2,20,0.5143468317004807,1.49,0.3451992159063629
0.7,2,21,0.47708465194549055,1.49,0.32019104157415473
0.7,2,22,0.4458616120428236,1.49,0.29923598123679435
0.7,2,23,0.5249188171243926,1.49,0.3522945081371762
0.7,2,24,0.41330977660413537,1.49,0.277389111814856
0.7,2,25,0.5137284515155927,1.49,0.34478419564804874
0.7,2,26,0.3975281984791865,1.49,0.2667974486437493
0.7,2,27,0.49537223951800535,1.49,0.3324645902805405
0.7,2,28,0.5784033392208667,1.49,0.38819016055091726
0.7,2,29,0.4490443631886154,1.49,0.3013720558312855
0.7,3,0,0.2203956200474244,1.7301,0.12738894864309833
0.7,3,1,0.23340118114011754,1.7301,0.13490617949258282
0.7,3,2,0.19801484142637982,1.7301,0.11445283014067384
0.7,3,3,0.24842954850922871,1.7301,0.14359259494204307
0.7,3,4,0.2467044528926512,1.7301,0.14259548748202486
0.7,3,5,0.2635894321843595,1.7301,0.15235502698361914
0.7,3,6,0.23817620834560937,1.7301,0.13766615128929505
0.7,3,7,0.2670881743671858,1.7301,0.1543773044143031
0.7,3,8,0.2563983396801919,1.7301,0.14819856637199694
0.7,3,9,0.23450935139658657,1.7301,0.13554670330997431
0.7,3,10,0.24142126160938493,1.7301,0.13954179620217613
0.7,3,11,0.28577337188185425,1.7301,0.1651773723379309
0.7,3,12,0.22735319490631656,1.7301,0.13141043575880965
0.7,3,13,0.22902571481618472,1.7301,0.13237715439349443
0.7,3,14,0.2595264236589965,1.7301,0.15000660288942633
0.7,3,15,0.2364330987917298,1.7301,0.1366586317506097
0.7,3,16,0.21396662587466553,1.7301,0.12367298183611672
0.7,3,17,0.2871026304905604,1.7301,0.16594568550405203
0.7,3,18,0.247601627872007,1.7301,0.14311405576094274
0.7,3,19,0.22503066982804731,1.7301,0.13006801331024062
0.7,3,20,0.25450680126933345,1.7301,0.14710525476523523
0.7,3,21,0.22802499131668763,1.7301,0.13179873493826233
0.7,3,22,0.21678400113404495,1.7301,0.1253014283186203
0.7,3,23,0.23506916457897753,1.7301,0.13587027604125632
0.7,3,24,0.19710749062293398,1.7301,0.11392838022249233
0.7,3,25,0.2535145091134201,1.7301,0.14653170863731582
0.7,3,26,0.16874164622933496,1.7301,0.09753288609290502
0.7,3,27,0.23189861468161288,1.7301,0.1340376941688994
0.7,3,28,0.30122368012935485,1.7301,0.17410767015164144
0.7,3,29,0.22422488721442124,1.7301,0.12960226993492935
0.7,5,0,0.04534563761242927,1.9053970100000002,0.023798524598518847
0.7,5,1,0.055712849314180524,1.9053970100000002,0.0292394965572978
0.7,5,2,0.044944634828534946,1.9053970100000002,0.023588068309467403
0.7,5,3,0.05710963346886677,1.9053970100000002,0.029972563811710172
0.7,5,4,0.06471467242844553,1.9053970100000002,0.03396387844045453
0.7,5,5,0.06675788394418691,1.9053970100000002,0.035036206939459254
0.7,5,6,0.05512804607584143,1.9053970100000002,0.02893257719337002
0.7,5,7,0.07531391768141038,1.9053970100000002,0.039526627409481645
0.7,5,8,0.059497620623281566,1.9053970100000002,0.03122583918785595
0.7,5,9,0.06413478890277502,1.9053970100000002,0.03365954106476477
0.7,5,10,0.07402937885785499,1.9053970100000002,0.03885246931181811
0.7,5,11,0.07793857207103394,1.9053970100000002,0.04090411166911295
