arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
C_predictor,7,3,1,3,3,3,1786329839.597076307,1786329853.091490655,W1,1,1,3,0,2,1,1,3,0,2,7,0,2,0,1
C_predictor,7,3,1,3,3,4,1786329853.103239910,1786329866.612252682,W1,1,1,3,0,2,1,1,3,0,2,2,0,4,0,1
C_predictor,7,3,1,3,3,5,1786329866.629049529,1786329880.132049493,W1,1,1,3,0,2,1,1,3,0,2,4,0,7,0,1
C_predictor,7,3,1,3,3,6,1786329880.138272805,1786329893.660471537,W1,1,1,3,0,2,1,1,3,0,2,7,0,1,0,1
C_predictor,7,3,1,3,3,7,1786329893.676046068,1786329907.167988926,W1,1,1,3,0,2,1,1,3,0,2,1,0,2,0,1
C_predictor,7,3,1,3,3,8,1786329907.172468938,1786329920.592457703,W1,1,1,3,0,2,1,1,3,0,2,2,0,1,0,1
C_predictor,7,3,1,3,3,9,1786329920.610188056,1786329934.059090954,W1,1,1,3,0,2,1,1,3,0,2,1,0,6,0,1
C_predictor,7,3,1,3,3,10,1786329934.076339768,1786329947.532486152,W1,1,1,3,0,2,1,1,3,0,2,6,0,7,0,1
A_vanilla,7,3,1,3,4,1,1786329955.300209261,1786329968.716383948,W1,1,1,3,0,2,1,1,3,0,2,7,0,5,0,1
A_vanilla,7,3,1,3,4,2,1786329968.736253397,1786329982.192357569,W1,1,1,3,0,2,1,1,3,0,2,5,0,6,0,1
A_vanilla,7,3,1,3,4,3,1786329982.206863574,1786329995.634918430,W1,1,1,3,0,2,1,1,3,0,2,6,0,2,0,1
A_vanilla,7,3,1,3,4,4,1786329995.643869691,1786330009.074013164,W1,1,1,3,0,2,1,1,3,0,2,2,0,5,0,1
A_vanilla,7,3,1,3,4,5,1786330009.092893977,1786330022.531626393,W1,1,1,3,0,2,1,1,3,0,2,5,0,1,0,1
A_vanilla,7,3,1,3,4,6,1786330022.535705949,1786330035.980998764,W1,1,1,3,0,2,1,1,3,0,2,1,0,3,1,1
A_vanilla,7,3,1,3,4,7,1786330036.001374842,1786330049.442560942,W1,1,1,3,0,2,1,1,3,0,2,3,1,5,0,1
A_vanilla,7,3,1,3,4,8,1786330049.454134175,1786330062.880024600,W1,1,1,3,0,2,1,1,3,0,2,5,0,6,0,1
A_vanilla,7,3,1,3,4,9,1786330062.886974804,1786330076.315182646,W1,1,1,3,0,2,1,1,3,0,2,6,0,5,0,1
A_vanilla,7,3,1,3,4,10,1786330076.322967169,1786330089.778396833,W1,1,1,3,0,2,1,1,3,0,2,5,0,2,0,1
B_oracle,7,3,1,3,4,1,1786330096.600788126,1786330110.032431497,W1,1,1,3,0,2,1,1,3,0,2,2,0,7,0,1
B_oracle,7,3,1,3,4,2,1786330110.045582759,1786330123.497313846,W1,1,1,3,0,2,1,1,3,0,2,7,0,2,0,1
B_oracle,7,3,1,3,4,3,1786330123.508257283,1786330136.943781208,W1,1,1,3,0,2,1,1,3,0,2,2,0,5,0,1
B_oracle,7,3,1,3,4,4,1786330136.952882404,1786330150.411449014,W1,1,1,3,0,2,1,1,3,0,2,5,0,4,0,1
B_oracle,7,3,1,3,4,5,1786330150.436055678,1786330163.875572629,W1,1,1,3,0,2,1,1,3,0,2,4,0,7,0,1
